id,claim_labels
101,"[2001, 2011, 2012]"
102,"[1303, 1501, 1000, 2011]"
103,"[1900, 1920]"
104,"[100, 105, 301, 601, 301, 332, 334, 301]"
105,[]
106,"[100, 107, 105]"
107,"[300, 301, 325, 334, 100, 105]"
108,[]
109,"[300, 301, 325, 331, 334, 344, 105, 101]"
110,"[1900, 1920, 1000, 1006]"
111,[]
112,"[100, 105]"
113,[]
114,[]
115,"[2001, 2011]"
116,"[600, 601, 603, 604, 606, 1401, 1406, 1409]"
117,[]
118,"[200, 202, 207, 208]"
119,"[300, 301]"
120,"[1303, 1304, 1305, 200, 201, 202, 207, 208, 230, 500, 503, 2011, 2012]"
121,"[1900, 1920, 1603, 1000, 1200, 2000]"
122,"[202, 201, 207, 1209]"
123,"[100, 105, 107, 101]"
124,"[1900, 1901, 1907, 100, 105]"
125,[]
126,[]
127,"[100, 105, 1001]"
128,"[1000, 1006, 507]"
129,"[200, 230, 500, 503]"
130,"[1000, 1005, 1006, 500, 506]"
131,"[1901, 1920]"
132,"[100, 105, 301, 1302, 1304]"
133,"[1303, 1501, 1000]"
134,"[1200, 1203, 1205]"
135,"[1900, 1910, 2000, 2011]"
136,"[200, 230, 1800, 1900, 2011]"
137,"[100, 107, 200, 230, 300, 325, 500, 503, 508, 600, 604]"
138,[]
139,[]
140,[]
141,[]
142,[]
143,[]
144,"[1800, 1803]"
145,"[1000, 1002, 600, 602, 603, 500, 508, 1401, 1406, 2011]"
146,"[1900, 1907, 1200, 1203, 1000, 1001, 200, 230, 500, 506]"
147,"[1200, 1203, 1205, 207]"
148,[]
149,"[1200, 1209, 1205, 1211, 1203, 1207]"
150,"[100, 101, 105, 107, 108]"
151,"[1200, 1209, 1208, 1201, 1203, 1205, 1207]"
152,"[1200, 1207]"
153,"[1901, 1907, 200, 230, 500, 529]"
154,[]
155,"[800, 806, 101, 105]"
156,"[2001, 2011, 2012]"
157,"[107, 101, 104, 301, 331, 334]"
158,"[1900, 1910, 200, 2011, 2012]"
159,[]
160,[]
161,"[500, 503, 507, 508, 100, 105]"
162,"[1200, 1209, 1205, 200, 230, 500, 529]"
163,"[1200, 1209, 1205, 1201, 1203, 1207, 1208]"
164,[2001]
165,"[200, 230, 201]"
166,[]
167,[]
168,"[1900, 1909, 500, 502]"
169,"[800, 801]"
170,"[2000, 2011, 2012]"
171,"[200, 230, 500, 529]"
172,"[100, 105, 101, 104, 107, 108]"
173,"[300, 325]"
174,"[1303, 1304, 100, 105, 101]"
175,"[1401, 1406]"
176,"[1502, 1521, 100, 107, 101]"
177,[]
178,"[1303, 2001, 2011, 2032]"
179,"[1800, 1806]"
180,"[1900, 1920]"
181,"[100, 105, 101, 104, 1001]"
182,"[700, 705, 807]"
183,"[1401, 1406, 1409, 500, 508]"
184,[]
185,"[1500, 107, 105, 101]"
186,"[1500, 107]"
187,"[1200, 1207, 1209, 1208, 1205, 1203, 1202, 1201, 1206, 1204]"
188,"[2000, 2011, 2012]"
189,"[1900, 1800, 1000]"
190,[]
191,"[300, 301, 103, 104, 105, 107]"
192,"[300, 301]"
193,"[107, 105, 101]"
194,[]
195,"[100, 107, 104, 101]"
196,"[600, 603, 606, 2011, 2012]"
197,[]
198,"[2001, 2012, 1521]"
199,[]
200,"[1900, 1920]"
201,[]
202,[]
203,[]
204,"[200, 207, 100, 107, 100, 107]"
205,"[200, 201]"
206,"[1900, 1911]"
207,"[1900, 1911, 500, 502]"
208,[]
209,[]
210,[]
211,"[1800, 1803, 1000, 1002]"
212,"[1200, 1209, 1205, 1203, 1201, 1208, 1206]"
213,[1207]
214,[]
215,"[1400, 1401, 1302, 500, 505, 508]"
216,"[600, 602, 603, 606, 325, 507]"
217,"[600, 604, 401, 1000]"
218,[]
219,"[300, 301, 108]"
220,"[100, 105]"
221,[]
222,[]
223,"[700, 705, 701, 703, 700]"
224,"[300, 301, 325, 332, 334, 100, 107]"
225,"[300, 325, 331, 334, 100]"
226,"[500, 506, 300, 325]"
227,"[1800, 1803, 1000, 1001]"
228,"[1000, 1001, 300, 301, 700, 705, 200, 230, 500, 502, 1000, 1001, 2000, 2011]"
229,"[1900, 1926, 800, 801]"
230,"[200, 230, 1000, 1001]"
231,[]
232,[]
233,"[1200, 1203, 1205, 500, 529, 230]"
234,"[1000, 1006, 500, 505, 507, 1303, 1305, 1409, 1501, 2011]"
235,[]
236,"[200, 207]"
237,"[200, 230, 500, 529]"
238,[]
239,"[300, 325, 100, 105, 101]"
240,[]
241,[]
242,"[1200, 1207, 1209, 1208, 1205, 1209, 1207, 1208]"
243,[]
244,[]
245,"[500, 502, 1401, 100, 105, 103, 1302]"
246,"[800, 803, 807]"
247,"[100, 103]"
248,[]
249,"[100, 107, 105, 1303]"
250,[]
251,"[300, 301, 331, 507, 100, 107, 105]"
252,"[1401, 1406, 500, 506]"
253,"[100, 105, 101]"
254,"[100, 105, 101, 200, 230, 500, 503, 507]"
255,"[1303, 1304, 1305, 1401, 1406, 1501, 1608]"
256,[]
257,"[100, 105, 107, 108, 200, 230, 500, 507, 1000]"
258,[]
259,"[1900, 1803, 1000, 1002, 1006, 200, 230, 500, 508, 2011]"
260,[]
261,[]
262,[]
263,[]
264,"[1401, 1406, 1409, 1501, 1504]"
265,"[200, 201, 207, 1000, 1001]"
266,"[600, 602, 603, 331, 334, 301]"
267,"[1303, 1401, 1409, 807]"
268,"[200, 230, 500, 529, 1203, 1209]"
269,"[100, 103, 105, 500, 502]"
270,"[1208, 207, 1207, 1205, 1203, 1201, 1204, 1209]"
271,"[1900, 1907, 100]"
272,[]
273,[]
274,"[1900, 705, 807, 200, 230]"
275,"[1900, 1803, 200, 230, 700, 108]"
276,"[1500, 1501, 1401, 1406, 1000, 1002]"
277,"[1900, 1910, 1000, 1002, 800, 807]"
278,"[100, 107, 101]"
279,"[1900, 1920, 108, 101]"
280,"[1200, 1203, 1205, 1209]"
281,"[200, 230, 500, 529]"
282,[]
283,[]
284,"[700, 705, 800, 807]"
285,"[1600, 1608, 1609, 1610]"
286,"[600, 601, 603, 605, 601, 605, 500, 505]"
287,[]
288,"[200, 230, 1200, 1207, 1209]"
289,"[500, 505, 2011]"
290,[]
291,[]
292,"[1200, 1207, 1209, 1203, 1205]"
293,"[1600, 1608, 1609, 1610, 2000, 2011]"
294,[]
295,"[1600, 801, 807, 500, 502]"
296,"[1200, 1203, 1209, 230]"
297,[]
298,"[1900, 1910, 1000, 1001]"
299,[]
300,"[1200, 1205, 1207]"
301,"[100, 107, 1900, 1800]"
302,"[100, 107]"
303,"[500, 503, 507]"
304,"[200, 230]"
305,"[2001, 2011, 2012, 2032]"
306,"[100, 105, 101]"
307,"[600, 602, 603, 605, 1000, 1002, 1200, 1205, 1300, 1401]"
308,"[300, 301]"
309,[]
310,[1207]
311,"[200, 230, 1600, 1610]"
312,"[1303, 1305, 100, 105, 101]"
313,"[1300, 1302, 1501, 1401, 100]"
314,"[107, 101, 500, 201, 2011, 2012]"
315,"[600, 601, 600, 604, 1000, 1002, 1000, 1002, 200, 230, 500, 506, 500, 508, 1000, 1002, 200, 230]"
316,"[100, 105, 107, 500, 503, 507]"
317,"[200, 230, 500, 529]"
318,"[2001, 2011, 2012, 100, 103, 301, 325, 507, 508]"
319,[]
320,[]
321,"[1900, 1907, 200, 230, 300, 601, 602, 603]"
322,"[1303, 1305, 500, 504, 505, 507, 508, 201, 601, 1000]"
323,[]
324,[]
325,"[300, 301, 107, 500, 503]"
326,"[1600, 1608, 1603]"
327,[]
328,"[500, 506, 325]"
329,[]
330,"[300, 325]"
331,"[1401, 1406, 500, 529]"
332,"[500, 504, 505, 506]"
333,"[1900, 1907, 2000, 2011]"
334,"[500, 529]"
335,"[1200, 1203, 1205]"
336,"[100, 105, 107, 201, 207, 208, 230, 500, 503, 507, 508, 2011, 2012]"
337,[2001]
338,"[1200, 1205]"
339,"[300, 301, 325, 331, 334, 101, 104, 105, 107]"
340,"[1200, 1209, 1205, 1207, 1208, 1000, 807]"
341,"[200, 230, 500, 529]"
342,"[100, 105, 301, 807]"
343,"[1401, 1406, 507, 507, 507]"
351,"[800, 801, 806, 807]"
361,"[1600, 1608, 1609, 1610, 1603]"
388,"[700, 709, 401, 406, 805, 807, 401, 406, 805, 807]"
394,"[1600, 801]"
404,"[1200, 1209, 1203, 1205, 1208]"
416,"[200, 207, 800, 1803, 1901]"
429,"[300, 321, 101, 105]"
432,"[300, 301, 321, 325, 331, 332, 334, 344, 108, 101, 104, 105, 107, 201, 202, 207, 208, 230, 100, 101, 104, 105, 107, 108]"
447,[]
455,"[500, 503, 504, 505, 1304, 1302, 1303, 1305, 1406, 1409, 1410]"
484,"[1200, 1205, 1207, 1304, 500, 502]"
624,"[1000, 1002, 1005, 1006, 1900, 1803, 1806, 401, 408, 230, 101, 105, 108]"
628,"[300, 321, 331, 344, 1000, 1203, 1207, 200, 230, 500, 529]"
671,[]
737,"[700, 705, 807, 332]"
748,"[1000, 1003, 1005, 1006, 1001, 1002, 1007]"
998,"[1600, 1603, 1608, 1609, 1601]"
1222,"[1200, 1203, 1204, 344, 1207]"
1361,"[100, 107, 108, 301, 331, 705, 1200, 1203, 1208, 200, 230, 500, 504, 505, 600, 601, 2011, 2012]"
1420,"[1200, 1209, 1205, 1207]"
1426,"[500, 506, 507, 508, 101, 103, 105, 101, 103, 105, 507, 508, 101, 103, 105]"
1756,[]
2601,"[400, 406, 408, 100, 101, 103, 107, 108, 200, 230, 500, 502, 508, 1200, 1203, 1209, 1300, 1401, 1501, 1600, 1800, 1900, 2000, 2011]"
3070,"[1800, 1803]"
3356,[]
