,id,reasoning,supercategories,claim_labels,watch_labels,text
15,380,"The excerpt discusses UKIP's stance on Brexit, immigration, and education. It also mentions the party's perception as an outsider and calls for a vote for UKIP.  These points relate to the supercategories of 1900 (International Affairs) and 200 (Civil Rights).","[1900, 200]","[200, 201, 1900, 1910]",[201],"Tonight's been a little bit like Groundhog Day for me because you've heard the same arguments, the same excuses, the same platitudes a hundred times before. UKIP will always be the outsider in British politics. It'll be the one that the Westminster elite and the establishment media want to mock and ridicule. But we have been proven right. Proven right on Brexit. Proven right on immigration. Proven right on grammar schools. Proven right on protecting our police and security services. On June 8th, it's your decision, your country, your vote. Vote UKIP."
16,381,"The excerpt discusses the need for increased infrastructure spending, particularly in areas that have historically been underfunded. It also mentions a desire for a fairer tax system to fund this increased spending.","[100, 1400]","[100, 105, 1400, 1401]",[1401],"Well, I think one of the things that we need to do is to rebalance the spending within the United Kingdom. So what we want to see is the UK overall increasing its level of infrastructure spending by at least 1% of GDP, but seeing that investment not going as it's as has happened decade by decade into the already affluent southeast of England, but into Wales, yes, into the north of England, Scotland, places that have been starved of investment so that we can be there at the ground level of this green jobs revolution rather than being where we've been for too long, which is at the wrong end, the long end of the queue for investment. We do it by having a fairer tax system, absolutely, but the crucial thing is that investment needs to get to the right places. It hasn't been coming to Wales."
17,382,"The excerpt discusses the right to freedom of expression and the right of women to choose their attire. While the speaker acknowledges the potential for offense, they emphasize their right to speak out and defend women's freedom of choice. This aligns with the concept of freedom of speech and expression, falling under the 200 category.",[200],"[200, 207]",[207],"You know, if you go through all my articles with a fine-tooth comb and take out individual phrases, there is no doubt that you can find things that can be made to seem offensive. And, of course... And I understand that. I understand that, but what I will say... Do you not think bubble is offensive? Just on the point that I think the lady was referring to... Olive. Olive was referring to. I defend my right to speak out, and I do defend my right to... And if you actually read the piece, which I don't know how many people have, if you read the piece, what I was really doing... Which one? I suggest you read any of them. or all of them. What I was really doing was mounting a strong liberal defence of the right of women in this country to wear what they choose. And I think most people, and not to be oppressed into wearing something they don't want to wear. And I think most people in this country would agree with that."
18,387,"The text discusses environmental policy, specifically focusing on reducing single-use plastics and incentivizing environmentally friendly practices.  There is a mention of ""regulations"" and ""policy frameworks,"" which points towards government action and potentially taxation or levies to achieve these goals.",[700],"[100, 107, 700, 703]",[703],"We do. That's the point of this. And I will say that I think the most important thing that politicians can do is to put in place the policy frameworks, whether it's in terms of getting rid of single-use plastics much sooner, the regulations that are going to make it easier, because what we want to do is to make it easier and cheaper for everybody to do the right thing so that the obvious decision to make is the one that is good for our climate."
19,390,The excerpt discusses the need for a domestic skills strategy to reduce reliance on overseas workers. It also mentions unemployment levels and the need to match skills with available jobs.,"[100, 1800]","[100, 108, 1800, 1803]",[108],"Thanks, Christine. And what we need at the moment is a skills strategy. We've not had an industrial and skills strategy. So what we've had is we've been over-relying on our economy from overseas workers to fill our skills gap. And they've done a tremendous job in doing that. And we have needed that. But what we really need is unemployment levels have gone higher again. is we need to really match those skills and give people opportunity to take those jobs and that's what Labour's industrial and skills strategy is about. It's about not relying on overseas workers and we'll always have overseas workers that come and help us but we also need to have a strategy on how we skill up people here in the UK. Thank you very much indeed Angela Rayner. Nigel Farage."
20,392,"The text discusses the upcoming Scottish Parliament elections and the impact of Westminster decisions on public spending, social security, and poverty.  There are explicit mentions of public spending and social security cuts.

```json","[100, 1300]","[100, 105, 1300, 1302]",[1302],"Absolutely. These figures are two years old. They are what sparked me making that commitment and I will be when we come to contest the next Scottish Parliament elections, if I'm asking people to vote for me again as First Minister, I expect to be judged on that. But it's absolutely legitimate for me to be asked these questions and answer them. But on Thursday, we're not choosing a Scottish government. We're choosing MPs who will go to Westminster and vote on public spending. Whether the money available to invest in our schools and hospitals goes up or down, we'll elect MPs to go to Westminster to decide whether the social security cuts that the Tories want to impose that are going to drive hundreds of thousands, perhaps a million more children across the UK into poverty. We need to make sure we have strong voices."
21,396,"The excerpt discusses crime reduction strategies, focusing on increased police presence and addressing youth crime.",[1200],"[1200, 1202, 1206]","[1202, 1206]","Jacqueline, you asked what can we do to stop burglary happening over and over and over again. Two things. Firstly, quite simply, more police on our streets. This government wants to waste billions of your money on an ID card system so that you have to pay for the privilege of having lots of your own details on a piece of plastic car that you carry around. For pretty well exactly the amount of money, your money, that the government's pouring into that, we could put 3,000 more police officers on the streets. That is the absolute priority for me. Second thing is this. There are too many young offenders who start first getting into trouble with low-level nuisance, antisocial behaviour. who become the hardened criminals of tomorrow. What we've got to do is stop the young offenders of today becoming the hardened criminals of tomorrow. And in my city of Sheffield, where I'm an MP, we've done some great things to do exactly that. That's the way to get burglary and crime down."
22,398,"The text discusses immigration policy, specifically mentioning a ""migration cap"" and the expectation that migrants should support their families. This points to the 200 (Civil Rights) supercategory, with a focus on immigration (230). There are also mentions of economic factors related to filling vacancies, hinting at the 500 (Labour and Employment) supercategory.

```json","[200, 500]","[200, 230, 500, 529]",[529],"And what we've seen is there are lots of people who are prepared to come to our country because it's a fantastic country to fill those vacancies and don't need to bring their family members and those are the people that we will welcome here. But what we can't do is support an unlimited number of people coming here who are not working. That's just simply not right, and it's not fair. So we may disagree on this, but I do think migration has to come down from the levels we've seen. That's what our migration cap will deliver. That's what we're already doing. And I think basic things like expecting people to support their family if they're bringing them here is actually just fair to everybody, and that's why I believe it's the right thing to do."
23,400,"The text primarily discusses the economic situation of Scotland, particularly its deficit, in the context of Scottish independence. There are also mentions of the European Union's stance on Scottish independence and comparisons with London's economic performance.","[100, 1900]","[100, 103, 105, 1900, 1910]",[103],"Can I take the gentleman's questions in turn? There are a lot of questions in there, let me try to take them in turn. Firstly, with the greatest of respect, Europe did not say that in 2014. Europe did not make any comment about what would happen if Scotland voted for independence. It certainly didn't say that Scotland would not be allowed to be a member of the European Union. Some may have taken from their body language, they weren't that keen on it, but they didn't actually say that. Nor has Spain ever said that it would veto the membership of an independent Scotland. What Spain has said is that if it is done constitutionally and legally, they would respect that. and I travel a lot around the European Union and there's been a sea change in attitudes towards Scottish independence since Brexit, both in the institutions and in member states. The European Union, since it was first established, has sought to enlarge itself. I think the idea that it's going to try to kick out or not allow in part of a member state that has been there for 40 years is kind of inconceivable. On the deficit, can I firstly make this point? Exclude London, because London skews a lot of the economic calculations for the UK. Scotland's deficit is not out of sync with the rest of the UK. But the thing is, London is in the UK. OK, but in terms of... Because Scotland is often treated as an outlier, London is actually the outlier and Scotland is in line. But that is... We'll leave that point to one side, because I can see I'm not convincing you. Well, what about you? I mean, it doesn't really matter if it's convincing me. OK, but the other point is Scotland's deficit is falling. It fell by £1 billion in the most recent year. Our onshore revenues went up by £3 billion. But my more fundamental point is this. If the argument against independence is that Scotland has a big deficit, that is a deficit that has been accrued under the Westminster system of governance. And if we've got a big deficit because of that, that's not an argument for Scotland staying the same."
24,402,"The text discusses issues related to crime, policing, and the criminal justice system. There are mentions of public trust in the police, crime rates, the length of time it takes for cases to be processed, violence against women, and sentencing.",[1200],"[1200, 1202, 1209, 1211]","[1202, 1211]","Well, I certainly hope so. Look, the reality is trust in police is woeful at 50% plus or minus. That is a disaster. We have to improve that. The police themselves have to do much more. But the time that crimes take, or potential crimes take to go through the criminal justice system, is an absolute disgrace. We have to accelerate that. Only 5% of crimes are now resulting in a charge. And violence against women and girls is absolutely abominable. And women and girls have got to feel much, much more confidence. We've got to have a much faster criminal justice system. And there has to be proper sentencing that go right through until the end of the sentence, not to be let out early."
25,405,"The excerpt mentions ""commanders"" and ""naval officers"" suggesting a discussion about the military.",[1600],"[1600, 1603]",[1603],"I will write the appropriate letter to our commanders, who are obviously very responsible, very loyal naval officers."
26,407,"The text discusses a proposed ""Green New Deal"" which aims to address climate change across various sectors of the economy.  There are references to past economic interventions (New Deal, Marshall Plan) and the need for government action to address an ""existential threat.""  The text also mentions the need to move away from austerity measures.","[100, 1300]","[100, 105, 1300, 1302]",[1302],"Yes, you will. And we're talking about something like Roosevelt's New Deal, like the Marshall Plan. And frankly, you know, if the climate were a bank, we would have bailed it out by now. When there's an existential threat on your doorstep, you pull out all the stops. As we saw in the financial crisis, and this Green New Deal that we're putting forward, not a narrow green industrial revolution, but a Green New Deal that covers agriculture, meat, transport, energy, every sector of the economy. We put this forward at the time of the financial crisis. We should have done it 10, 12 years ago. And if we had, we wouldn't be in this fixed with austerity, and we wouldn't be facing the same environmental destruction on our doorstep."
27,410,"The excerpt discusses the possibility of a politician taking a seat in the House of Lords. This falls under the category of  political institutions and processes.


```json",[2000],"[2000, 2011]",[2011],"Nigel, would you rule out here and now? Would you rule out? ever taking a seat in the House of Lords."
28,411,"The excerpt discusses a political conflict and the need for dialogue with opposing parties to achieve peace. This aligns with the themes of civil rights and international affairs, specifically focusing on conflict resolution and diplomacy.","[200, 1900]","[200, 201, 1900, 1901]","[201, 1901]","I was talking to representatives of the Republican movement. Yes. Actually, so was the government at the same time. Ian Paisley was indeed thrown out of Parliament when he told the government, told Margaret Thatcher, she was actually talking to them. Do you know what? I voted that Ian Paisley shouldn't be thrown out of Parliament because I thought his voice should be heard in Parliament. You have to bring about a peace process by talking to people that you don't agree with. If you just talk amongst your friends, you're not going to get a peace process."
29,413,"The excerpt discusses the potential for wind farms, both onshore and offshore, suggesting a focus on renewable energy sources. There is also a mention of evaluating wind farm proposals on a case-by-case basis, indicating a policy discussion related to energy development.


```json",[800],"[800, 806]",[806],"Well, again, we see potential for wind farms. We actually see greater London term potential, actually, for off-shore harnessing of energy. And we look as any ...party, any set of representatives should where wind farm proposals are concerned, on the merits of each case. But I think we should..."
30,415,"The excerpt discusses the pros and cons of zero-hours contracts, focusing on their suitability for different individuals and the government's decision to outlaw exclusive zero-hours contracts. This primarily falls under the category of Labour and Employment.",[500],"[500, 505, 506]","[505, 506]","Look, as I said, some people... Could you live on one? I want to create a country where more people have the opportunity of the full-time work that they want. Could you live on a zero-hours contract? Look, that's not the question. The question is... Well, it's the question I'm asking. Yeah, but the point is, some people choose a zero-hours contract. If you're a student, for instance, and you want to do some part-time work, a zero-hours contract can work for you. That's why we haven't outlawed them altogether. What we've outlawed is exclusive zero-hours contracts. And no, I couldn't live on one of those, and that's why we outlawed them."
31,421,"The text discusses two main policy areas: housing affordability and tenant protections.  The first part focuses on a ""low deposit scheme"" to help people buy property, which falls under the ""Housing"" category. The second part addresses the issue of landlords exploiting tenants through bidding wars, which relates to ""Tenant Rights"" and ""Rent Control"".",[1400],"[1400, 1406, 1410]",[1406],"Yeah so on the question of buying property we want a low deposit scheme, which is what we'll put in place, so that people who've proved they can pay, because they're often paying more for their rent than they pay on their mortgage, so the ability to pay isn't the issue, but they haven't got the ability to save for a mortgage, because mum and dad haven't got the money. And they're paying it all out on rent. So that's the first thing. The second thing, which is also important for those that are in rented accommodation, is we have to stop the landlords ripping off tenants who are doing, you'll probably be familiar, this bidding war, so that when you go to get a rented property, the landlord just does a bidding war. Who will pay more? Who will pay more? Who will pay more? Until people are paying through the roof. We have to end that."
32,422,"The text discusses immigration, public services, and the impact of austerity measures. It also mentions HIV/AIDS and the need to address wage suppression.  

The code 201 is used because the text explicitly mentions ""abuse immigrants"" and ""those with HIV"". The code 100 is used because the text discusses the impact of austerity on public services and the need to end it. The code 500 is used because the text discusses the need to strengthen trade unions and raise the minimum wage.","[100, 200]","[100, 200, 201, 500]",[201],"So you abuse immigrants and those with HIV and then complain that UKIP is being abused? Now, there is a risk to public services, but I don't believe that that comes from immigration. I believe that that has come about as a result of cuts. So, the answer to that is to end austerity. There are scarce resources. There aren't enough to go around. Now, our public services, especially the NHS, would collapse if we were to end immigration tomorrow. Now, there are real issues in terms of the driving down of wages, and that has to be addressed. And the way to address that is to raise the minimum wage to the living wage and to strengthen trade unions. We should be looking at repealing the trade union legislation that Margaret Thatcher brought in because if you have stronger trade unions, then you have a stronger defence of our public services and against the exploitation of workers."
33,425,"The excerpt discusses bullying in schools and the role of headteachers in enforcing discipline. It touches on the need for funding and the potential for a ""ring-fenced"" budget for this purpose. While there is mention of funding, the primary focus is on the structure of school discipline and the power dynamics between headteachers and appeal panels.",[1200],"[1200, 1207]",[1207],"It is a very, very important question and bullying in our schools is a hugely important problem. It's a part of the discipline problem which I was talking about earlier. And we have to tackle this if our children are to get the decent chance in life that they need. I'm very lucky. I come from an ordinary family but I went to a school a good state school, and I've benefited enormously from that. And I want every child in this country to have the same kind of chance that I had. So, to come directly to your question, if you give... I'm not sure that you need to ring-fence the money. If you give the head teachers the power to enforce discipline, what happens at the moment is if a head wants to exclude someone from school, someone who's been guilty of bullying, for example, That headteacher can be second-guessed by a panel who take the appeal. They may know little about the school. They will know nothing about the child. And if they override the headteacher... The Tory idea, that, wasn't it? They undermine the headteachers. The Tory idea. And we learn from our mistakes. All right, good."
34,427,"The text discusses crime rates, specifically knife crime, and the use of stop-and-search tactics by the police.  There is a clear reference to the reduction in stop-and-search practices under the current government.",[1200],"[1200, 1202, 1211]","[1202, 1211]","Knife crime has almost tripled. Let's remember, you talk about stop and search, but actually stop and search under your government has reduced by two-thirds in the last 14 years. Per 100,000 people, we're almost 10% less. officers, police officers across England and Wales. So the reality is that you've presided over a massive reduction and that we've got to get more police out on the streets, away from the back office, away from their desks, get police officers on the streets, preventing crime, reassuring people. Stop and search works, we know it works, we need to dramatically increase the use of it."
35,428,"The text discusses a plan for social care, mentioning funding and workforce issues. This points to the supercategories of 1300 (Social Welfare) and potentially 100 (Macroeconomics) due to the mention of funding.  The text also mentions ""poor conditions"" which could relate to labor issues, but the primary focus is on social care.",[1300],"[1300, 1302]",[1302],"We will have a plan for social care, and like everything else in our manifesto, it will be fully costed and fully funded. It starts with the workforce, because as you know, one of the biggest problems in social care is that the workforce is fragmented, poor conditions, and many, many people. Thank you. You talk about the workforce. If I could just pick up on this workforce."
36,430,"The excerpt discusses the climate crisis and Labour's proposed solutions, including a ""green industrial revolution."" This points to the 700 (Environment) supercategory and its subcategories related to climate change and environmental policy. There's also a mention of economic impact (""you at home must not pay the price""), hinting at the 100 (Macroeconomics) supercategory.","[700, 100]","[100, 108, 700, 705]",[108],"This election is our last chance to tackle the climate and environment emergency. The climate movement has changed our politics forever and Labour has listened. Just 100 companies are responsible for 70% of emissions. And you at home must not pay the price of the transition to a net zero economy. Labour will kickstart a green industrial revolution, bringing new wealth to all parts of our country. Labour is on your side and on the side of the environment. It is time for real change."
37,434,"The text discusses the privatization of the NHS, public sector cuts, rejoining the European single market, and increased migration. These points relate to  healthcare, government spending, international trade, and immigration respectively.","[100, 1300, 1800, 500]","[100, 108, 500, 529, 1300, 1302, 1800, 1803]","[529, 108, 1302]","So what I've outlined there is quite clear. Now, I have in recent days proposed a bill to prevent any privatisation of the NHS. The Labour Party were outraged at the very concept. If they wanted to back that, that would be most welcome. We would also want to see a rejection of the £18 billion worth of public sector cuts that are coming down the line. so that Scotland's public services could be funded properly. We want to see a rejoining of the European single market. We want those discussions to happen. It's good for business. We want to see increased migration."
38,435,"The text discusses the process of leaving the European Union (Brexit), including the concept of a ""people's vote"" and the potential for revoking Article 50. This points to discussions around international affairs and potentially domestic policy implications of Brexit.","[1900, 2000]","[1900, 1910, 2000, 2011]",[2011],"17 times. in Parliament, we put down amendments to try to secure a people's vote. If Jeremy Corbyn and the Labour Party had backed that with sincerity, then we might be having a people's vote right now instead of a general election. But we are in a general election. This is the essence of democracy. I am standing here and telling you honestly what I would do if I was elected as Prime Minister, I would revoke Article 50 and if you vote me into that position, I will do what I've said I will do. And that's the essence of democracy."
39,436,"The excerpt discusses the challenges of governing as a minority government, emphasizing the need to build consensus and negotiate with other parties to pass legislation. This falls under the category of political processes and party dynamics.


```json",[2000],"[2000, 2011]",[2011],"to be a minority government again. So we don't have that overall control of the political system. If I want to get a law, I have to be able to do that. If I want to get a law, I have to be able to do that. If I want to get a law, I have to be able to do that. If I want to get a law, I have to be able to do that. If I want to get a law, I have to be able to do that. If I want to get a law, I have to be able to do that. If I want to get a law, passed by the Scottish Parliament. I can't just instruct my colleagues to vote for it. I've got to win friends and allies. So on every piece of legislation, on every budget, we've got to win friends and allies. And one of the things that I think..."
40,443,The excerpt discusses the financial contributions to the EU and the desire to regain control over national finances. It also touches upon immigration and the lack of clarity surrounding the opposition's stance on Brexit negotiations.,"[100, 200]","[100, 107, 200, 201]",[201],"If you look at the numbers we put on the side of us, look at the gross figure we pay to the EU, the number is going up. And it is one of the advantages of our deal that we will take back control of our money, our borders, our laws, our immigration system. It's very, very clear. It's there in black and white after 45 minutes. We still do not know what Mr Corbyn's deal would be. And we still don't know whether he would back it. Nor do we know who in his shadow cabinet he is proposing to deploy to negotiate that deal. Thank you very much. But not a single one of them actually backs it. Thank you very much indeed."
41,448,"The excerpt discusses government policy regarding healthcare and social care, specifically mentioning the need to train British citizens. This points to the 1300 (Social Welfare) supercategory. The mention of ""training our own people"" suggests a focus on domestic workforce development, aligning with the 500 (Labour and Employment) supercategory.","[1300, 500]","[500, 502, 1300, 1302]","[502, 1302]",And that's why we have an exception for health care and social care. But we have to train our own people. That's the right thing for a government to do for British citizens.
