,id,reasoning,supercategories,claim_labels,watch_labels,text,parsed_watch
160,984,"The excerpt discusses education policy, including funding, bureaucracy, and the role of teachers.  There are mentions of school funding,  government spending, and the desire to reduce bureaucracy.

```json","[600, 100]","[105, 602]","[105, 602]","I have every sympathy with what you say, because education is important, as well as getting good grades, that actually we're opening young people's minds to all the best things that have been written and all the best things that have been said, and to really excite people about education. And I think there is a danger that our education system has become terribly bureaucratic. We send 4,000 pages of information to schools every year. We spend £300 million on educational quangos. We're not getting enough to the front line, actually following the child into the school. And as someone who's got two children, one of whom started a state school in London and hopefully another one, another child to come. I'm passionate about getting as much money into the school as possible rather than wasting it in Whitehall. In terms of exams, we've got to have good external marking, done properly and high standards. I think that's absolutely key. I wouldn't want to see that change. But let's set the schools free so we trust in the vocation of the teachers who do what they want. They're there because they have a vocation they care about. Nick Clegg.","['105', '602']"
164,993,"The excerpt discusses the handling of public finances, specifically mentioning shelved tax cuts and their impact on the NHS. It also touches on the potential economic consequences of political deadlock and Brexit.",[100],[105],[105],"To answer the question directly about how we're handling public finances in this electoral period, I would just point out that I have shelved a plan to cut corporation tax, saving... It's already the lowest in Europe. He would whack it up to the highest in Europe. But we've shelved that cut. That gives us the ability to put another £6 billion into the NHS and other priorities. And we will do that. We can do that because we have a strong economy. And what worries me about this country at the moment is that we are going to continue with this pointless paralysis. I have no hesitation in repeating this point. If we go on with more deadlock and division next year, if we fail to get Brexit done, then the economy will suffer. And that is the reality.",['105']
167,1016,"The excerpt discusses the impact of leaving the European Union on the Welsh economy, specifically mentioning jobs, tariffs, and EU funding. It also touches on the need for a post-Brexit plan to stimulate economic growth.","[100, 1800, 1900]","[105, 1803]","[105, 1803]","Let's bring in Leanne Wood and then we'll go to Paul Nuttall. We are going to leave the European Union. The question for us now is how we leave the European Union. And Plaid Cymru has said right from the very beginning, the question of jobs and the economy has to be at the centre of all the decision making. We have 200,000 jobs reliant on tariff-free access with a single market in Wales. Those jobs are at risk. if Theresa May walks away without a deal. There are £680 million that come from the EU every year because Wales is one of the poorest countries in the European Union. We've had no guarantees that that money will be available for us beyond 2020. That would mean the end of the Welsh farming industry and the end of many people's jobs. But it's not just about defending and protecting what we've got. We also have to have a post-Brexit plan which creates the conditions for us to be able to develop our economy and create even more better paid jobs.","['105', '1803']"
169,1024,"The text discusses immigration and its impact on the country, including the potential for immigrants to access benefits. It also mentions the need for ""proper controls"" on immigration.","[200, 100]",[105],[105],"Yeah. Let me say two things, though, about this, which are important. OK, you said... Let me just make a point about immigration, because you asked me a question. Let me answer it. Look, I think that we benefit from our diversity. Immigrants over the years have made a big contribution to our country, but we do need proper controls. Let me just say this, Jeremy. A Labour government would say that if people come here, they can't get benefits for the first two years, and we will do something else.",['105']
171,1043,"The excerpt discusses the state of the NHS, social care, the cost of living, and environmental pollution. These topics fall under the categories of Health, Social Welfare, Macroeconomics, and Environment.  There are also mentions of  a ""cost-of-living crisis"" which implies a discussion on public spending.","[300, 1300, 100, 700]",[301],"[105, 301, 1303]","Our country is crying out for change, and it's not hard to see why. Under this Conservative government, everything feels broken. Nothing works. Under Ed Davies' leadership, the Liberal Democrats will fix our NHS and social care, tackle the cost-of-living crisis, and put an end to the scandal of filthy raw sewage being dumped in our rivers and streams. Every vote for the Liberal Democrats is a vote for a fair deal and a vote to help deliver the change that we all so desperately want and need.","['105', '301', '1303']"
172,1057,"The excerpt discusses the political landscape following Brexit, mentioning different parties' stances on the issue.  The Liberal Democrats' desire for a second referendum is explicitly stated, falling under the category of civil rights. The excerpt also touches on the triggering of Article 50, which is related to international affairs and specifically the UK's withdrawal from the EU.


```json","[2000, 1900]",[2012],[2012],"And I said there wouldn't be a general election. And after I became Prime Minister, I felt that the most important thing for the country was the stability and getting on with triggering the Article 50 so that we made sure that we were delivering on that vote on Brexit. What became clear when we were going through that process is that other parties want to frustrate that process of those Brexit negotiations. We have the Liberal Democrats wanting a second referendum. That's all happened since March, has it? We have the... Well, actually, it was March. It was in March that I triggered Article 50 by writing the letter to the European Council.",['2012']
173,1062,"The excerpt discusses immigration policy, specifically the requirement for individuals to demonstrate their ability to support family members they bring to the country. This falls under the category of immigration policy, which is a sub-category of civil rights. Additionally, the text mentions ""pressure on public services,"" hinting at potential economic implications.","[200, 100]",[105],[105],"No, but what we've done... Do you accept that? No, but that's not what we've done. What we have done is say that if people are going to bring family members here, they just need to be able to support them. I think that's reasonable, because any person that comes to our country obviously adds to the pressure on public services, and it's a very reasonable proposition to say, if people are bringing their dependents, family dependents, then they need to be able to demonstrate that they're going to be able to support them. That is, I think, a very common-sense measure, and that's what we are doing.",['105']
174,1065,"The excerpt discusses the impact of austerity measures on public sector workers, schools, and public services. It also mentions tax giveaways to the wealthy and increased charges for others. This points to discussions about economic policy (100) and potential social welfare implications (1300).  The mention of a ""housing crisis"" also suggests potential connections to planning and housing issues (1400).","[100, 1300, 1400]",[105],[105],"What I would say is, for the past seven years of austerity, that austerity has hit public sector workers with a 1% cap. It has hit all our schools and public services. It has caused a housing crisis. And do you know what? The very richest in our society have got richer. There's been more and more tax giveaways at the top end and more and more charges at the other end. It's time to rebalance it. Our manifesto is a serious, well thought out document that I believe is getting a lot of support and people are very excited by the idea of how we could do things differently.",['105']
177,1070,"The text discusses the need for change, mentions taxes, public services, defense, and borders, and emphasizes the importance of shared responsibility. These points align with several categories in the codebook.

```json","[100, 1600, 1200]","[105, 1608]","[1608, 105, 1209]","Thank you. It's clear from last week's debate that the country wants change. But the question is, what sort of change and whose best place to lead that change? If you vote Conservative, you will get a new team running the country from May the 7th. And you won't be stuck with what you've got now. But real change comes from your values. And there, there are big differences between us. I believe that we need to do more to help families. They are the absolute bedrock of a strong society. I want government to be accountable. I want less waste, less bureaucracy, stopping the jobs tax, but making sure we have good public services that you get good value for money for. As we're going to discuss tonight, I want us to keep our defences strong, I want to keep our borders secure and our country safe. but real change. Real change comes not just from politicians, but from when we all recognise that we have responsibilities. We're all in this together, and that's how we'll build the big and strong society I believe we need in our country.","['1608', '105', '1209']"
178,1073,"The excerpt discusses the tax burden on low and middle-income earners, the impact of taxes on people facing financial hardship, and the opposing economic plans of the current government and the Labour Party.",[100],[105],[105],"Thank you very much. Penny Mordaunt. Thank you. Well, thank you for what you do. And you'll know from the people that you work with that when you're facing financial hardship, how frightening that is. and how exhausting it is because you have to be so organised. I think this is the issue of the election and it is not true to say that we've put the highest burden on the poorest. The tax burden on those on low and middle incomes is the lowest that it has been since 1975. We've got four million people into work. We have a million fewer working households. But what we need to do now is cut tax. We have to enable people to keep more of the money they earn. That is what we will do. Labour will do the opposite. They will put up taxes, they will put up bills, and the people you work with will suffer.",['105']
179,1075,"The excerpt discusses education spending and the potential for cuts under different party plans. This directly relates to the 600 (Education) supercategory and its subcategories.

```json",[600],[602],[602],"That's a totally fair challenge and that's why I've been much clearer and I hope, maybe you didn't hear it, about the red lines without which the Liberal Democrats simply won't go into any coalition government. So, for instance, education spending. You just heard Ed Miliband say that the Labour Party wants to increase education spending to keep up with prices. What he didn't tell you is that there are going to be 460,000 new youngsters going into education system. So you need to increase spending to help them as well. The Conservatives want to do the reverse, they want to keep up with increased pupil numbers but not with prices. Both amount to a cut, a multi-billion pound cut to the money that goes into our nurseries, our schools and our colleges. I cannot be more clear with you, the Liberal Democrats will not go into any coalition, any government, we won't sign a coalition agreement unless, if either of those parties insist on those cuts to our education system because I think that really is short-changing the little children of today who should be given just",['602']
180,1077,"The excerpt discusses the process of developing a policy related to older people, specifically mentioning a ""cap"" and the need for consultation. There is no mention of specific policy details, taxation, or any discriminatory language.",[1300],[1300],[1300],"What I want to do in relation to the details of the policy, how it actually works, including the level of the cap, is to consult. Consult with people, consult with voters, also consult with organisations, charities and others, working with older people, so that we ensure that we get that right. And I think that's a fair way to do it, rather than just producing a figure now. I think it's important to have that consultation.",['1300']
181,1083,"The excerpt discusses the funding of education, specifically mentioning a program called ""Building Schools for the Future"" and criticizing the Labour Party's plan to ""tax education."" This implies a discussion about public spending and taxation in the context of education. Additionally, there is a mention of class sizes potentially increasing due to funding cuts, which touches upon the topic of education policy.","[100, 600]",[602],"[105, 602]","In 2010, in addition to there being no money left, IFOI, the Department of Education, about the Building Schools for the Future programme. They weren't even looking at secondary schools in that programme. And what Angela and the Labour Party are going to do is, unbelievably, they are going to tax education. The result of that is, yes, some families will not be able to send their kids to the schools they're currently going to, but also, they've admitted this week, class sizes will go up as a consequence. It's crazy. It doesn't serve anyone. And it's the kind of dogma that we need to keep out","['105', '602']"
182,1084,"The excerpt discusses the national budget deficit, proposes a ""war cabinet"" for national security, and mentions the need to address the situation in Afghanistan.  

The primary policy topics are related to macroeconomics (budget deficit) and international affairs (Afghanistan, national security).


```json","[100, 1600, 1900]","[105, 1608]","[1608, 105]","Well, I just think it's another attempt to try and frighten people after 13 years of failure. 13 years in which we now have a budget deficit the same size as Greece. And don't take it from me, take it from the 1,100 business leaders. You know, people who run Sainsbury's, Mothercare, Next, Marks & Spencers, these great British businesses are going to help us out of recession saying cut the waste this year, stop the jobs tax next year. But to go back to Frank's question, I do have one specific proposal where I really think we should come together much more effectively. And that is, I want to see the National Security Council sitting as a war cabinet from day one if I become Prime Minister. Because day one, Afghanistan is the top priority, getting it right. And I would invite, as Prime Minister, the leaders of the other two main parties to come to that meeting several times a year to make sure that they were really seeing the advice we were getting from the security services, from the generals, from the chiefs of staff. I think in matters of peace and war, you've got to bring people together better than we do now.","['1608', '105']"
183,1086,"The text discusses Plaid Cymru's policy positions, touching on economic issues (austerity, job creation, living wage), social welfare (strong public services), defense (ending Trident renewal), and devolution.","[100, 1300, 1600]",[105],"[105, 1610]","Plaid Cymru wants to end austerity. We want to rebalance power and wealth throughout these islands. We want to invest in job creation. We want to end Trident renewal, introduce a living wage, end zero-hours contracts, but most importantly, we want to bring an end to this Tory Government with its ideological-driven cuts, and we can work together as progressives here on this stage can work together in order to achieve that. We can have strong public services, we can have a strong economy with a future for our young people and we can also get a strong deal for Wales. There is no longer any need for us to continue with a third-rate devolution settlement. Like Nicola, I will not prop up a Conservative government, but I will also not prop up a Labour government hell-bent on implementing Tory policies. We can have an alternative.","['105', '1610']"
184,1087,"The excerpt discusses the need for a review of military equipment and specifically mentions the Trident nuclear missile system as a major defense expenditure. This points to discussions within the realm of defense policy and international relations.

```json","[1600, 1900]",[1610],[1610],"I actually happen to agree, strongly agree, in something I've been calling for for years, that we should have a complete review about whether our military equipment is right for the jobs we're asking our brave soldiers and brave service men and women to do. Because of course the world is changing and the threats to this country are changing with it. What I simply don't understand is that if we hold that review, as I think is going to be likely after the general election, whoever wins that election, Both David Cameron and Gordon Brown want to rule out one of the biggest items of defence expenditure of all, which is the Trident nuclear missile system. This was a system that was designed at the height of the Cold War to flatten St Petersburg and Moscow at the crest of battle.",['1610']
185,1090,"The excerpt discusses the Pope's visit to Britain, touching upon religious beliefs, societal impact of faith-based organizations, and the speaker's personal stance on certain Catholic doctrines.","[200, 1300]",[202],[202],"Well, I do think it's welcome that the Pope is coming to Britain, and I would, if I was your Prime Minister, I would want to support that visit and make sure I could do everything in my power to make it a success. There are millions of people in our country who will welcome that, who share the Pope's Catholic faith, and I think we should try and make a success of it. But do I agree with everything the Pope says? No, I don't agree with him about contraception, I don't agree with him about homosexuality, and I think the Catholic Church has got some very, very serious work to do to unearth and come to terms with some of the appalling things that have happened, and they need to do that. But I do think we should respect people of faith. I think faith is important in our country. I think faith-based organizations, whether they are Christian or Jewish or Muslim or Hindu, do amazing things in our country, whether it's working in our prisons or providing good schools or actually helping some of the most vulnerable people in our country. So a country where faith is welcome, yes. A good visit from the Pope, yes. But does that mean we have to agree with everything he says? No. Nick Clegg.",['202']
187,1098,"The excerpt discusses the speaker's personal experience with the NHS, their commitment to increasing its funding, and their plans for expanding its services. This primarily falls under the category of healthcare policy (300) with a secondary focus on economic policy (100) due to the mention of government spending and the need for a strong economy.

```json","[100, 300]","[105, 301]","[105, 301]","All I can say is what I think and what I believe. And when my disabled son was desperately ill, I went to the NHS night after night. I went to different hospitals. I was in different places. But I got the most fantastic care, support, and I'd say love from those people in the NHS for my family and for my son. It was always there for me and I will always make sure it is there for other families in our country. Now, I showed you that note about we had no money when we became the government. When we got that note, we still made a very big decision, which is we said, yes, we're going to have to make cuts in some areas of government spending, but the NHS is going to get more money every year I'm Prime Minister. And it has had more money, and that's why there are, compared with when I became Prime Minister, 9,000 more doctors, there are 7,000 more nurses, we're carrying out millions more operations every year. Do I think it's perfect? No I don't, and I've got a big ambition. for the next five years, which is to deliver a seven-day-a-week NHS, including seven-day opening, eight in the morning, eight in the evening, for GP surgeries. I know we can do that, because we're already delivering it to about eight million people in our country. If you elect me as Prime Minister, I'll finish the job and make sure we have seven-day opening for GP surgeries right across our country. That will really help working people to access the NHS that we all want.","['105', '301']"
188,1103,"The excerpt discusses defense spending, specifically comparing conventional forces to nuclear weapons (Trident). The speaker criticizes cuts to conventional forces while advocating for increased spending on social programs.",[1600],"[1608, 1610]","[1608, 1610]","Anaya, national security is of paramount importance. It's one of the most important responsibilities of any politician and any government. But I think we need to make sure that the country is defended appropriately. We've seen savage cuts to conventional defence forces in recent years, a 30% drop in MOD employment, at the same time as our forces have been fighting on the front line in Iraq and Afghanistan. Britain is an island nation, and yet doesn't have a single maritime patrol aircraft. And at the same time, Westminster parties plan to spend £100 billion on new nuclear weapons. I think those priorities are plain wrong. To those who say we need Trident to make us safe, there are 190 or so out of the 200 countries in the world that don't have nuclear weapons. So I think it's time to invest in strong conventional forces, not in nuclear weapons. And if it comes to a choice of how to spend £100 billion, I choose childcare, health and education over new Trident weapons any day of the week.","['1608', '1610']"
191,1109,"The excerpt discusses inheritance tax, tax credits, and the fairness of tax policies.  There are explicit mentions of inheritance tax and tax credits, which fall under the categories of taxation and social welfare. The speaker also criticizes the Conservative party's policies, implying a discussion of political parties and potentially their impact on social welfare.


```json","[100, 1300]",[105],[105],"Inheritance tax means we have tax credits and six million people benefit from that. As far as the teaching assistant who's earning a very low income is concerned, there's the working tax credit that is available to them. But I come back to the central question about fairness that has been raised by our questioner. How can David possibly justify an inheritance tax cut for millionaires at a time when he wants to cut Child Tax Credits? Let's be honest. The inheritance tax threshold for couples is £650,000, if your house is worth less than that you pay no inheritance tax. What David is doing is giving 3,000 people, the richest people in the country, he's going to give them £200,000 each a year. That is simply unfair, when he also wants, like Nick, to cut the Child Tax Credits from ordinary families in this country. I've got to speak out about this because it's simply unfair and immoral for the Conservatives to put this as their election manifesto.",['105']
192,1110,"The excerpt discusses government spending, taxation, and economic growth. There are explicit mentions of raising corporation tax to fund public services and invest in infrastructure. The text also criticizes tax giveaways to the wealthy.

```json",[100],[105],[105],"Well what we've had is a government for the past seven years that has borrowed more, run up a greater deficit and cut public services at the same time and at the lowest growth rate of any industrial country. The system they have is not working. What we're proposing is to raise corporation tax, yes, in order to make the funding commitments that I've already outlined, but it's also to establish a serious national investment bank to invest in infrastructure all around this country so we do get a sustainable growing economy. We cannot go on giving money away to the very rich. This government's proposing another 60 billion in tax giveaways in the next five years. Instead, I say turn it round and invest in the future of all of our people.",['105']
199,1135,"The excerpt discusses the speaker's political ideology (""progressive""), their concerns about European political trends, and their proposed solutions to global issues like climate change, conflict, and poverty.  These solutions involve economic stabilization, investment, and addressing climate change as an opportunity.","[700, 1900]",[705],[705],"With Europe, I'm worried about some of the tendencies across Europe because I'm obviously leading a progressive party and I think that the answers to the problems we face globally, whether that's climate, whether that's conflict, whether that's extreme poverty, getting our economy going, are progressive answers to that. Now, I will have to work, if I'm elected into government, with all leaders across Europe, but I will always make that progressive argument that, in the end, you have to stabilise your economy, you have to get investment in to make sure that we get the jobs of the future, we have to take our climate obligations seriously and not see them as just a sort of challenge that we don't want, but as a brilliant opportunity for the next generation of jobs and play our full part in descaling conflict. If we're able to get over the line in two weeks' time, we have a platform for that, which is really important. If you look across Europe, I am genuinely worried by some of the political trends and moves that we see. Thank you.",['705']
202,1150,"The text discusses the challenges facing the National Health Service (NHS) in Scotland, including underfunding and long wait times. It also mentions the Scottish government's efforts to increase funding for the NHS through higher taxes on higher earners. The speaker criticizes the lack of a comprehensive financial solution to the NHS's problems from the UK's main political parties.","[100, 300]","[105, 301]","[105, 301]","So the first point I'd like to say in response to your question is that I accept there are some very significant challenges in the National Health Service in Scotland today. And some of that's a product of the impact of COVID and the necessity of trying to catch up on cases that were delayed. and we're making headway on the long waits that Fiona just put to me in the additional part of the question. So I accept, first of all, that there's a real challenge in the National Health Service, and we need to put more funding in to do something about that. There's two elements to the funding we have available to us. There's the block grant that comes from Westminster, which is affected by the same austerity and spending constraints that affect budgets in England and Wales. but there's also the money we can raise in Scotland. So we've taken decisions over the last three or four years to increase tax on higher earners so we could raise more money to invest in public services. And we now have one and a half billion pounds available to us that we invest in public services that wouldn't be there if we hadn't taken those decisions. That's an example of how we're using the powers that we have today to try to address the very issue that you fairly put to me about the challenges in the National Health Service. But the deeper problem we have, and this is a problem I think that we share with the rest of the United Kingdom, is a long-term effect of 14 years of austerity. and I'm not hearing coming out of the UK election debate between the Labour Party and the Conservative Party the type of financial solution to the challenges in the National Health Service that we need to hear because there's just not enough money proposed to be invested in improving the public services of the United Kingdom and that would have an effect on Scotland as well.","['105', '301']"
204,1156,"The text discusses tax cuts for specific groups (young people buying homes, pensioners) and mentions apprenticeships, indicating a focus on economic policy. The mention of ""Triple Lock Plus"" suggests a focus on social welfare for pensioners.

```json","[100, 1300]",[1303],[1303],"And we are, and that's the point, we are doing both. We're cutting taxes for young people buying their first home, creating new apprenticeships, and the Triple Lock Plus to protect pensioners who have worked hard all their lives and are grandparents to those young people. We are doing those things, and as I said when I was sitting there, we can cut taxes for people at every stage of their life. That's the type of country I want to build.",['1303']
205,1157,"The text discusses climate change targets, specifically mentioning reductions in emissions, carbon neutrality, and the comparison to international targets set by the IPCC and the Committee on Climate Change.",[700],[705],[705],"It is what the Committee on Climate Change said is at the outer limits right now. That is what we should be aiming for at the very latest. What Scotland has done is pile on the pressure to meet higher targets earlier. We are going beyond what the Committee on Climate Change has said for 2030, a 75% reduction in all emissions by 2030, carbon neutrality by 2040. Now, the IPCC, the international expert, says that the world needs to reach carbon neutrality by 2050 and half emissions, carbon emissions, by 2030. So we are going beyond that. And unlike the other leaders here, I'm actually in government, leading a government that is leading by example. Our targets are the toughest anywhere in the world. They include aviation, shipping and they don't rely on international credits and that's the kind of ambition we need to see all countries take.",['705']
206,1159,"The excerpt discusses government spending cuts, specifically targeting departments outside of healthcare, education, and policing. It also mentions public sector pay and pension reforms.  There is a clear reference to the need to support the economy and avoid repeating past mistakes of economic downturn.",[100],[105],[105],"Let's be clear. From 2011, there will be cuts in spending in departments other than NHS, other than schools, and other than policing. But we will make the commitment to maintain these front line services and build on the improvements that we've made. Once you've built a school and a hospital as we've done in the last few years, you don't need to build it again, so we can have cuts in capital investment. Public sector pay will not rise as it did in previous years and public sector pensions are being reformed. But I have to say one thing that is absolutely crucial to the time we're in at the moment in this uncertain and dangerous world: David is proposing that there be cuts in public spending now - £6 billion - and that will shrink the economy at a time when we need to support the economy. We cannot afford to lose jobs and businesses and lose growth now. We must maintain the recovery and support it, and please let us not make the mistake of the 1930s and the 1980s and the 1990s, and let us support the economy until the recovery is assured. DAVID DIMBLEBY Your response, David Cameron?",['105']
207,1164,"The excerpt discusses the current economic situation, the government's actions to improve it, and the potential consequences of the opposing party's policies.  There are mentions of taxes, public services, and the impact on working families.

```json","[100, 200]",[105],[105],"When we came into office, James, Labour had left this country on the brink of bankruptcy. We took many decisions which mean now the economy is stronger, millions more are in work, wages are rising, and we can now bring the change that you and many more want to see. Investment in our public services like the NHS, making sure that this is the best place to raise a family, to start a business. and to keep the cost of living and your taxes low. The alternative to all of this, all of this hard work, is Labour's reckless spending plans. And we know who will pay for those. It's very clear. Ordinary working families up and down this country will hit their wallets with more taxes because of Labour's spending plans. And that's a risk we must avoid.",['105']
208,1166,"The excerpt discusses issues related to the NHS in both England and Wales, including scandals, failings, and the need for increased funding. There are explicit mentions of the NHS budget and the role of the British government in funding it.","[300, 100]",[301],"[105, 301]","Rebecca, do you know even what has been going on in Wales? We've had the scandals, haven't we, over the maternity services and the deaths of babies in England. We've had exactly the same at Cwm Taf here in Wales, you know, an official report pointing out to the serious failings of your government. If you criticise the Conservative Party rightly for the unnecessary failings there, surely admit and be honest about the fact that your government here has also failed those mothers and fathers and people in the NHS in Wales as well. LONG-BAILEY: There should be a full legal process. LONG-BAILEY: I don't know about the case that's been referred to but knowing from my legal experience there should be a full legal investigation and a public inquiry into this incident which sounds horrific but when I talk about public funding for our NHS we know that even in Wales it can be increased and they are linked to LONG-BAILEY: to the British government in terms of the funding that they can receive on many areas. LONG-BAILEY: And we are not receiving funding for our NHS and that's why Labour has promised to give the biggest increase we have ever seen to our NHS.","['105', '301']"
209,1175,"The excerpt primarily discusses the National Health Service (NHS) and the government's plans to address staffing shortages. There are mentions of increased funding, a long-term workforce plan, and the need to train more healthcare professionals.",[300],[301],[301],"Well, thanks, Hamza, first of all, for what you do and all your colleagues do in our incredible NHS, and I'm very sorry to hear about your experience. I think the first thing to say to you is I come from an NHS family. So, like you, like my parents, they worked in the NHS, and my dad was a GP, my mum was a pharmacist, and they dedicated their lives. to helping people and I was surrounded by that growing up and actually what they instilled in me was an importance of how we can continue to help people and I worked for my mum doing exactly that. So that's the first thing you need to know about me when it comes to the NHS and that's why we've put record funding into it but your point is the right one. What we have not done for not just years but for decades is train enough staff and then be reliant on having to bring people here from abroad. And in the NHS's 75-year history, it has never ever had a long-term workforce plan. But for the first time, it does, because I thought that was the right thing to prioritise. And we announced it together. It was the NHS's plan that the government has fully backed. And I said to them, look, this is the right thing to do. because we need to train more doctors, nurses, dentists, philotherapists, everything today so that in years to come the NHS will have the staff that it needs to ease some of the pressures, reduce reliance on staff from overseas and make sure it's a fantastic career for everybody. And look, candidly, We're the best one in the world, you know, I won't be here in the 14 years that it takes to train a consultant that we're paying for today, but I thought it was the right thing to do to strengthen our NHS for the long term because people like you are brilliant, we want to make sure we train as many of you as possible so we have lots of colleagues, ease the burden and get everyone the care that they need.",['301']
210,1176,"The text focuses on housing affordability and policies aimed at helping first-time buyers. This includes mentions of ""Help to Buy,"" ""stamp duty,"" and the challenges of saving for a deposit. These directly relate to the 1400 (Planning and Housing Issues) and 100 (Macroeconomics) supercategories.

```json","[100, 1400]",[1410],[1410],"No, of course I'm not. I want you to own your own home, because it's an incredibly special thing. I remember what it felt like. I want everyone to feel like that, because owning your own home is part of what allows you to build a life, build a family, and gives you a stake in your community. It's something I passionately believe, and I want to make it easier for you. I'll tell you two very specific things that I will do for you and everyone else if I'm your prime minister on July 5th. One is to reintroduce a new form of help to buy. which means you won't have to save up as much for the deposit. It will save you tens of thousands of pounds. So that's a big issue, waiting till you're 40 to save up for the deposit. It will help solve that problem. And the second thing we're going to do is abolish stamp duty for first-time buyers, effectively. There'll be a cap, but most people will be covered by it. And then again, that's going to save you thousands of pounds, and it's going to get you on the housing ladder far quicker. Because the challenge that I see when I talk to everyone of your age is, actually, they could probably afford the mortgage. The challenge, I can see you nodding, the challenge is how long will it take me to save up the deposit? And the combination of a new help to buy and actually abolishing stamp duty means that you'll be able to get on the housing ladder far quicker. So it's two very specific things so you can own your own home. And again, I'll point this out, because all elections are a choice, the Labour Party have said no to both of those things. So you're only going to get those things if I'm your Prime Minister.",['1410']
212,1180,The text primarily discusses the issue of Brexit and its impact on public trust in politics. There are mentions of Parliament's failure to honor the Brexit referendum result and the Labour Party's opposition to Brexit. The speaker argues that completing Brexit is crucial for restoring trust in politics.,"[1900, 2000]",[2012],[2012],"Is it fired? I think fine. Well, thank you very much for a very important question. And look, on the issue of trust, I think that trust in politics and in Parliament has been corroded. And that is the most fundamental reason for that is because Parliament asked the people to vote on membership of the EU, and then Parliament has repeatedly refused to honour that promise, to respect the views of the people. I'm afraid this, Jeremy Corbyn, Jeremy Corbyn and the Labour Party are now blocking Brexit. The way I think, which is absolutely true, the way to restore trust in politics is to get Brexit done and move forward. We have a great deal that enables us to do it. I'm unclear as to why it's necessary to spend another year in a debate about Brexit, which is, as Farhan says, corrosive advice.",['2012']
213,1182,The text discusses the removal of a tax break for private schools to fund state secondary schools. This implies a change in taxation policy to increase public spending on education.,"[100, 600]",[602],[602],"So you pay VAT on other services, but you don't pay it for private schools. Now, I understand why that's been in place, but it's a tax break that we are removing. It's not an introduction of a new tax. We're simply saying we need to find the money to properly fund our state secondary schools so that, in maths, to take an example, it's not the only example, I want every child to have a maths teacher teaching them maths, because it's... The Prime Minister says he wants maths to the age of 18. Let's first get the right teachers for every single child up to 16, because at the moment they don't have it. And I genuinely worry, if you don't get maths, at the right level in your GCSEs, it's really difficult to go on to A-levels, it's really difficult to go on to apprentices, and that child will be held back. Now, this is difficult stuff, but I'm not going to tolerate the fact that we haven't got the right teachers in our state secondary schools. That's the position we're in now. It's a disgrace in that position.",['602']
214,1188,"The excerpt discusses economic policies, including wages, poverty, and manufacturing jobs. There is a clear call for increased wages and a focus on reducing poverty. The mention of ""austerity"" and ""growth of billionaires"" points to discussions about government spending and wealth distribution.",[100],[105],[105],"Well, we've had austerity for nine years in this country. We've had a growth of billionaires in this country. We've had a growth of extreme poverty in this country. We've had a growth of personal debt from people trying to look after children, look after older people. I think the first thing has to be an increase in wages by having a £10 an hour living wage for all people, an end to zero hours contracts, and an investment strategy across the country that does give us an increase in manufacturing jobs all across Britain, which we're not having at the present time. I think this election is a turning point in the way in which we're going to manage our economy in the future.",['105']
216,1198,"The text discusses the national deficit and austerity measures, indicating a focus on macroeconomic policy. There are also mentions of the Labour party's policies affecting specific communities, touching upon social welfare and potentially economic inequality.

```json","[100, 1300]",[105],[105],"Let me put the point on the size of the deficit to Leanne Wood. The deficit can be cut, but setting arbitrary deadlines is irresponsible. Labour have voted for more austerity. They voted for the austerity charter, which means another £30 billion worth of cuts. And in the valleys where I live, we've yet to recover from the recession before last, let alone this one. And your party, Ed, represents many areas of Wales at all different levels. Do you accept that you've failed people in Wales because we represent some of the poorest communities in the whole of the EU and your party is presiding over those communities?",['105']
218,1201,"The excerpt discusses the government's economic policies, focusing on job creation, minimum wage increases, and tax cuts for low-income earners.  

```json",[100],[105],[105],"I want more people to have full-time work and that is what is happening in our economy. It has been difficult. We have had a very difficult few years following the longest and deepest recession virtually in our country's history. We are coming out of that We created 1.89 million new jobs. That's 1,000 a day. The majority of those have been full-time jobs, not part-time jobs. Most of them have been in relatively well-paid occupations. Only one in 50 jobs is a zero-hours contract, and some people choose those contracts. But if you ask me, do I want more people to have the dignity and security of work and a regular wage? Yes. Do I want a higher minimum wage? Yes. And we've seen the minimum wage increase now above inflation for the first time in many years. And I want to see that minimum wage go through £7 on to £8. And crucially, Jeremy, in terms of what the government can do, we have cut taxes. So we've taken the 3 million lowest paid people in our country out of income tax altogether. so you can earn now £10,600 before you start paying income tax at all. I think that is vitally important, and that's been the priority for the government.",['105']
219,1204,"The excerpt discusses the issue of political disengagement and proposes reforms to address it. It criticizes the ""jobs for life"" culture in the two main political parties, suggesting that this leads to a lack of accountability and problems with expenses.  The text also mentions the need for reform in areas like the House of Lords, indicating a broader critique of the existing political system.",[2000],[2012],[2012],"Can I just go back to Mary's question, which is about people feeling switched off from politics? Something which neither of the two old parties want to address is this. We have a culture of jobs for life in politics. You've got hundreds and hundreds of MPs from the Conservative Party and from the Labour Party, from the old parties, who basically know that all they need to do every four or five years is get the vote of 20-30% of people in their community and then ignore everybody else all the rest of the time. And of course you then start getting trouble with expenses because of course if you give people jobs for life, these safe seats for life, no questions asked, then of course they start cutting corners. That's what we need to change as well as all the other things to do with expenses, House of the Lords and all the other areas which need to be reformed.",['2012']
