id,llm_reasoning,claim_labels
70,Extracted via Regex (JSON was broken),"[120, 230, 100, 103, 200, 201]"
71,Extracted via Regex (JSON was broken),"[700, 709, 700, 701, 100, 108, 190, 1926]"
72,Extracted via Regex (JSON was broken),"[2000, 2011, 100, 105, 100, 107, 500, 502, 1600, 1603]"
73,Extracted via Regex (JSON was broken),"[1300, 1304, 500, 502, 100, 107]"
74,Extracted via Regex (JSON was broken),"[1300, 1302, 100, 105]"
75,Extracted via Regex (JSON was broken),"[100, 107, 100, 105, 100, 103]"
76,CRITICAL ERROR: Could not parse JSON,[]
77,Extracted via Regex (JSON was broken),"[100, 108, 500, 502, 1600, 1608, 1300, 1302, 2000, 2011]"
78,Extracted via Regex (JSON was broken),"[1400, 1401, 100, 107, 500, 502, 2000, 2012, 2000, 2012]"
79,Extracted via Regex (JSON was broken),"[2000, 2012]"
80,Extracted via Regex (JSON was broken),"[100, 105, 107, 104, 105, 105]"
81,Extracted via Regex (JSON was broken),"[100, 108, 200, 207, 300, 301, 600, 602]"
82,Extracted via Regex (JSON was broken),"[100, 107, 1900, 1901, 100, 105, 100, 104]"
83,Extracted via Regex (JSON was broken),"[200, 207, 500, 502, 100, 104, 1900, 1910, 1200, 1209]"
84,Extracted via Regex (JSON was broken),"[230, 100, 105, 1300, 1302]"
85,Extracted via Regex (JSON was broken),"[200, 230, 100, 107, 500, 502]"
86,Extracted via Regex (JSON was broken),"[100, 108, 200, 230]"
87,Extracted via Regex (JSON was broken),"[1400, 1401, 100, 105, 300, 301, 100, 105]"
88,Extracted via Regex (JSON was broken),"[1900, 1911, 1900, 1911]"
89,Extracted via Regex (JSON was broken),"[300, 301, 100, 107, 200, 207]"
90,Extracted via Regex (JSON was broken),"[100, 105, 300, 301, 500, 502]"
91,Extracted via Regex (JSON was broken),"[1900, 1910, 1600, 1603, 100, 108, 200, 201]"
92,Extracted via Regex (JSON was broken),"[2000, 2011]"
93,Extracted via Regex (JSON was broken),"[100, 105, 1300, 1302, 1900, 1910, 1600, 1603, 1900, 1910, 200, 201, 1600, 1610]"
94,Extracted via Regex (JSON was broken),"[500, 504, 500, 504, 500, 504]"
95,Extracted via Regex (JSON was broken),"[1900, 1910, 1600, 1603, 2000, 2011]"
96,Extracted via Regex (JSON was broken),"[100, 105, 103, 107, 104, 105, 500, 502]"
97,Extracted via Regex (JSON was broken),"[600, 601, 2000, 2011]"
98,Extracted via Regex (JSON was broken),"[600, 601, 100, 105, 1300, 1302, 200, 201]"
99,Extracted via Regex (JSON was broken),"[1900, 1901, 100, 105, 300, 301, 500, 502, 100, 105, 1900, 1901]"
100,Extracted via Regex (JSON was broken),"[100, 107]"
101,Extracted via Regex (JSON was broken),"[2000, 2011, 2000, 2011, 2000, 2011]"
102,Extracted via Regex (JSON was broken),"[1300, 1303, 100, 107, 2000, 2011]"
103,Extracted via Regex (JSON was broken),"[1900, 1920]"
104,Extracted via Regex (JSON was broken),"[100, 105, 300, 301, 600, 601, 1300, 1302]"
105,Extracted via Regex (JSON was broken),[]
106,Extracted via Regex (JSON was broken),"[100, 107, 500, 502, 1300, 1302]"
107,Extracted via Regex (JSON was broken),"[300, 301, 100, 105]"
108,Extracted via Regex (JSON was broken),"[100, 101]"
109,Extracted via Regex (JSON was broken),"[300, 301, 100, 107, 500, 502, 1300, 1302]"
110,Extracted via Regex (JSON was broken),"[100, 108, 1900, 1920, 2000, 2011]"
111,Extracted via Regex (JSON was broken),"[100, 107, 300, 301, 500, 502, 200, 230]"
112,Extracted via Regex (JSON was broken),"[100, 105]"
113,Extracted via Regex (JSON was broken),"[200, 201, 500, 504, 2000, 2012]"
114,Extracted via Regex (JSON was broken),[]
115,Extracted via Regex (JSON was broken),"[2000, 2011, 2000, 2011, 2000, 2012]"
116,Extracted via Regex (JSON was broken),"[600, 601, 1300, 1303, 500, 502, 1400, 1401]"
117,Extracted via Regex (JSON was broken),[]
118,Extracted via Regex (JSON was broken),"[200, 202, 200, 207, 2000, 2011]"
119,Extracted via Regex (JSON was broken),"[300, 301, 100, 107]"
120,Extracted via Regex (JSON was broken),"[1300, 1303, 100, 105, 300, 301, 600, 601, 1600, 1608]"
121,Extracted via Regex (JSON was broken),"[1900, 1920, 100, 108, 500, 502, 2000, 2011, 2000, 2012]"
122,Extracted via Regex (JSON was broken),"[200, 202, 201, 1200, 1209, 200, 207]"
123,Extracted via Regex (JSON was broken),"[100, 105, 100, 104, 100, 107]"
124,Extracted via Regex (JSON was broken),"[100, 108, 1900, 1911, 2000, 2011]"
125,Extracted via Regex (JSON was broken),"[100, 105]"
126,Extracted via Regex (JSON was broken),[]
127,Extracted via Regex (JSON was broken),"[100, 105, 100, 107]"
128,Extracted via Regex (JSON was broken),"[100, 107, 500, 502]"
129,Extracted via Regex (JSON was broken),"[100, 103, 230]"
130,Extracted via Regex (JSON was broken),"[1000, 1001, 300, 301, 500, 502, 100, 105]"
131,Extracted via Regex (JSON was broken),"[1900, 1911, 100, 105, 1300, 1302]"
132,Extracted via Regex (JSON was broken),"[100, 105, 1300, 1302, 500, 502, 100, 105]"
133,Extracted via Regex (JSON was broken),"[1300, 1302, 100, 105, 2000, 2011]"
134,Extracted via Regex (JSON was broken),"[1900, 1920]"
135,Extracted via Regex (JSON was broken),"[1900, 1910, 2000]"
136,Extracted via Regex (JSON was broken),"[1300, 1302, 500, 502, 1900, 1911, 2000, 2011]"
137,Extracted via Regex (JSON was broken),"[100, 107, 200, 230, 300, 301, 500, 502, 1300, 1302]"
138,Extracted via Regex (JSON was broken),"[100, 107, 100, 105, 300, 301, 600, 601, 1300, 1302]"
139,Extracted via Regex (JSON was broken),"[300, 325, 500, 502]"
140,Extracted via Regex (JSON was broken),"[700, 705, 100, 105, 500, 502, 300, 332]"
141,Extracted via Regex (JSON was broken),[]
142,Extracted via Regex (JSON was broken),"[100, 108]"
143,Extracted via Regex (JSON was broken),"[2000, 2012]"
144,Extracted via Regex (JSON was broken),"[100, 105]"
145,Extracted via Regex (JSON was broken),"[100, 105, 500, 502, 300, 301, 300, 332]"
146,Extracted via Regex (JSON was broken),"[1900, 1911, 1600, 1603, 100, 101, 2000, 2011]"
147,Extracted via Regex (JSON was broken),"[1000, 1001, 2000, 2011, 2012]"
148,Extracted via Regex (JSON was broken),"[100, 101]"
149,Extracted via Regex (JSON was broken),"[1200, 1209, 500, 502, 1200, 1211]"
150,Extracted via Regex (JSON was broken),"[100, 103, 100, 107, 100, 105, 100, 104]"
151,Extracted via Regex (JSON was broken),"[500, 502, 1200, 1211, 1200, 1209]"
152,Extracted via Regex (JSON was broken),"[1200, 1207, 1000, 100]"
153,Extracted via Regex (JSON was broken),"[1900, 1901, 2000, 2011, 100, 108, 1600, 1603, 1300, 1302]"
154,Extracted via Regex (JSON was broken),[]
155,Extracted via Regex (JSON was broken),"[800, 806, 2000, 2011]"
156,Extracted via Regex (JSON was broken),"[2000, 2012, 1000, 2011]"
157,Extracted via Regex (JSON was broken),"[100, 107, 100, 104, 100, 105, 300, 301, 300, 301, 300, 301]"
158,Extracted via Regex (JSON was broken),"[100, 108, 100, 108, 100, 108, 200, 207, 200, 207, 100, 108, 100, 108]"
159,Extracted via Regex (JSON was broken),"[300, 301, 100, 107, 500, 502, 2000, 2011]"
160,Extracted via Regex (JSON was broken),"[100, 107]"
161,Extracted via Regex (JSON was broken),"[500, 502, 100, 105, 1300, 1302]"
162,Extracted via Regex (JSON was broken),"[1000, 1001, 100, 107, 500, 502, 1300, 1302]"
163,Extracted via Regex (JSON was broken),"[1200, 1209, 100, 104, 500, 502]"
164,Extracted via Regex (JSON was broken),"[2000, 2011, 2000, 2012]"
165,Extracted via Regex (JSON was broken),"[230, 230]"
166,CRITICAL ERROR: Could not parse JSON,[]
167,Extracted via Regex (JSON was broken),"[100, 101]"
168,Extracted via Regex (JSON was broken),"[1900, 1910, 2000, 2011]"
169,Extracted via Regex (JSON was broken),"[800, 801, 800, 801, 1900, 1926]"
170,Extracted via Regex (JSON was broken),"[100, 107, 2000, 2011, 100, 101]"
171,CRITICAL ERROR: Could not parse JSON,[]
172,Extracted via Regex (JSON was broken),"[100, 105, 100, 104, 100, 105, 100, 107, 100, 104, 100, 105]"
173,Extracted via Regex (JSON was broken),"[300, 301]"
174,Extracted via Regex (JSON was broken),"[1300, 1303, 100, 105, 100, 105]"
175,Extracted via Regex (JSON was broken),"[1400, 1401, 1409, 100, 107]"
176,Extracted via Regex (JSON was broken),"[500, 502, 100, 107, 100, 105]"
177,Extracted via Regex (JSON was broken),"[100, 108, 300, 301, 600, 602, 1200, 1209, 100, 107]"
178,Extracted via Regex (JSON was broken),"[1300, 1303, 2000, 2011, 100, 104]"
179,Extracted via Regex (JSON was broken),"[100, 108, 1900, 1803, 500, 502]"
180,Extracted via Regex (JSON was broken),"[1900, 1920, 100, 108]"
181,Extracted via Regex (JSON was broken),"[100, 105, 100, 104, 100, 105]"
182,Extracted via Regex (JSON was broken),"[700, 709, 100, 105, 1300, 1302]"
183,Extracted via Regex (JSON was broken),"[1400, 1401, 100, 105, 500, 502]"
184,Extracted via Regex (JSON was broken),"[200, 202, 202, 207, 202]"
185,Extracted via Regex (JSON was broken),"[100, 107, 100, 105, 100, 105, 100, 107]"
186,Extracted via Regex (JSON was broken),"[100, 107]"
187,Extracted via Regex (JSON was broken),"[200, 207, 200, 207, 1300, 1302]"
188,Extracted via Regex (JSON was broken),"[2000, 2011, 2000, 2011]"
189,Extracted via Regex (JSON was broken),"[1900, 1901, 2000, 2011]"
190,Extracted via Regex (JSON was broken),"[100, 108, 200, 201, 300, 301, 600, 601, 1900, 1910, 100, 107]"
191,Extracted via Regex (JSON was broken),"[300, 301, 100, 105, 100, 107, 200, 201]"
192,Extracted via Regex (JSON was broken),"[300, 301]"
193,Extracted via Regex (JSON was broken),"[100, 107, 100, 107, 100, 107]"
194,Extracted via Regex (JSON was broken),"[100, 105, 107, 103, 104, 105, 105]"
195,Extracted via Regex (JSON was broken),"[100, 107, 100, 104, 100, 105, 100, 103]"
196,Extracted via Regex (JSON was broken),"[2000, 2011, 100, 103, 600, 601, 600, 603, 600, 603]"
197,CRITICAL ERROR: Could not parse JSON,[]
198,Extracted via Regex (JSON was broken),"[500, 504]"
199,Extracted via Regex (JSON was broken),"[300, 301, 100, 107, 2000, 2011]"
200,Extracted via Regex (JSON was broken),"[1920, 1926]"
201,Extracted via Regex (JSON was broken),"[500, 502, 600, 601]"
202,Extracted via Regex (JSON was broken),"[100, 105]"
203,Extracted via Regex (JSON was broken),"[100, 103, 100, 107, 100, 105, 100, 105, 200, 230, 200, 230, 200, 230]"
204,Extracted via Regex (JSON was broken),"[100, 107, 1300, 1302, 2000, 2012]"
205,Extracted via Regex (JSON was broken),"[100, 108]"
206,Extracted via Regex (JSON was broken),[1900]
207,Extracted via Regex (JSON was broken),"[100, 107, 2000, 2011]"
208,Extracted via Regex (JSON was broken),"[2000, 2011]"
209,Extracted via Regex (JSON was broken),"[100, 105, 100, 105, 100, 105, 100, 103, 100, 104, 100, 107]"
210,Extracted via Regex (JSON was broken),"[1300, 1303]"
211,Extracted via Regex (JSON was broken),"[1900, 1903, 100, 105]"
212,Extracted via Regex (JSON was broken),"[100, 104, 500, 502, 1200, 1209, 1600, 1608]"
213,Extracted via Regex (JSON was broken),"[2000, 2001]"
214,Extracted via Regex (JSON was broken),"[100, 101, 500, 502]"
215,Extracted via Regex (JSON was broken),"[1400, 1401, 1300, 1302, 500, 502, 1300, 1302]"
216,Extracted via Regex (JSON was broken),"[600, 602, 600, 603, 500, 325, 100, 104]"
217,Extracted via Regex (JSON was broken),"[100, 105, 500, 502, 600, 601]"
218,Extracted via Regex (JSON was broken),"[100, 107, 1300, 1302, 2000, 2011]"
219,Extracted via Regex (JSON was broken),"[300, 301, 100, 107, 2000, 2011, 200, 201]"
220,Extracted via Regex (JSON was broken),"[100, 103, 100, 104]"
221,Extracted via Regex (JSON was broken),"[100, 105, 100, 107, 500, 502, 100, 103, 100, 107, 700, 705]"
222,Extracted via Regex (JSON was broken),"[100, 105, 300, 301, 1300, 1302, 100, 107, 100, 101]"
223,Extracted via Regex (JSON was broken),"[700, 705, 709, 100, 105]"
224,Extracted via Regex (JSON was broken),"[300, 301, 100, 107, 1300, 1302]"
225,Extracted via Regex (JSON was broken),"[300, 301, 100, 105, 500, 502, 600, 601]"
226,Extracted via Regex (JSON was broken),"[500, 502, 300, 301, 100, 107]"
227,Extracted via Regex (JSON was broken),"[100, 107, 1900, 1901, 2000, 2011]"
228,Extracted via Regex (JSON was broken),"[100, 107, 300, 301, 700, 705, 2000, 2011, 500, 502]"
229,Extracted via Regex (JSON was broken),"[1900, 1911, 100, 104, 1900, 1920, 1900, 1610]"
230,Extracted via Regex (JSON was broken),"[200, 230, 100, 108]"
231,Extracted via Regex (JSON was broken),"[100, 105]"
232,CRITICAL ERROR: Could not parse JSON,[]
233,Extracted via Regex (JSON was broken),"[500, 502, 200, 230, 230, 230]"
234,Extracted via Regex (JSON was broken),"[100, 107, 1300, 1302, 300, 301]"
235,Extracted via Regex (JSON was broken),"[1300, 1302, 300, 301, 500, 502, 200, 202]"
236,Extracted via Regex (JSON was broken),"[2000, 2011]"
237,Extracted via Regex (JSON was broken),"[120, 230, 100, 108, 500, 502]"
238,Extracted via Regex (JSON was broken),"[2000, 2011]"
239,Extracted via Regex (JSON was broken),"[300, 301, 100, 103, 100, 105, 100, 107, 100, 105]"
240,Extracted via Regex (JSON was broken),[]
241,Extracted via Regex (JSON was broken),"[300, 301, 100, 107, 200, 201]"
242,Extracted via Regex (JSON was broken),"[1200, 1207, 500, 502, 100, 107, 1300, 1302, 1200, 1209, 1200, 1211]"
243,CRITICAL ERROR: Could not parse JSON,[]
244,Extracted via Regex (JSON was broken),[]
245,Extracted via Regex (JSON was broken),"[500, 502, 500, 502, 1400, 1401, 100, 105]"
246,Extracted via Regex (JSON was broken),"[800, 805, 100, 105]"
247,Extracted via Regex (JSON was broken),"[1300, 1302]"
248,Extracted via Regex (JSON was broken),"[100, 1000, 1001]"
249,Extracted via Regex (JSON was broken),"[100, 107, 1300, 1302, 100, 105]"
250,Extracted via Regex (JSON was broken),"[100, 104, 200, 201]"
251,Extracted via Regex (JSON was broken),"[300, 301, 500, 502, 100, 107]"
252,Extracted via Regex (JSON was broken),"[1400, 1401, 500, 502, 100, 107]"
253,Extracted via Regex (JSON was broken),"[100, 105, 100, 105, 100, 105, 100, 105, 100, 105]"
254,Extracted via Regex (JSON was broken),"[100, 105, 100, 107, 200, 201, 300, 301]"
255,Extracted via Regex (JSON was broken),"[1300, 1303, 100, 105, 500, 502, 300, 301]"
256,Extracted via Regex (JSON was broken),"[100, 105, 100, 107, 100, 101, 100, 104, 2000, 2011, 100, 108]"
257,Extracted via Regex (JSON was broken),"[100, 107, 100, 105, 300, 301, 100, 107, 100, 105]"
258,Extracted via Regex (JSON was broken),"[300, 301, 100, 107, 200, 230, 500, 502]"
259,Extracted via Regex (JSON was broken),"[1900, 1911, 100, 107, 2000, 2011, 100, 107]"
260,CRITICAL ERROR: Could not parse JSON,[]
261,Extracted via Regex (JSON was broken),"[1000, 1001, 100, 107, 2000, 2011]"
262,Extracted via Regex (JSON was broken),"[300, 301, 100, 107, 1300, 1302]"
263,Extracted via Regex (JSON was broken),"[100, 107, 500, 502, 2000, 2011, 2000, 2011]"
264,Extracted via Regex (JSON was broken),"[1400, 1401, 100, 105, 500, 502]"
265,Extracted via Regex (JSON was broken),"[100, 101, 200, 207, 2000, 2011]"
266,Extracted via Regex (JSON was broken),"[1300, 1302, 600, 601]"
267,Extracted via Regex (JSON was broken),"[1300, 1302, 300, 301, 100, 105]"
268,Extracted via Regex (JSON was broken),"[230, 100, 105, 500, 505, 1300, 1302]"
269,Extracted via Regex (JSON was broken),"[100, 103, 100, 105, 100, 104]"
270,Extracted via Regex (JSON was broken),"[1208, 207, 1300, 1304]"
271,Extracted via Regex (JSON was broken),"[1900, 1920, 2000, 2011, 1901]"
272,CRITICAL ERROR: Could not parse JSON,[]
273,Extracted via Regex (JSON was broken),"[100, 101]"
274,Extracted via Regex (JSON was broken),"[100, 108, 700, 705, 1200, 1201, 2000, 2001]"
275,Extracted via Regex (JSON was broken),"[100, 107, 1900, 1901, 200, 201, 300, 301, 100, 104, 100, 108]"
276,Extracted via Regex (JSON was broken),"[100, 107, 500, 502, 1400, 1401, 1300, 1302]"
277,Extracted via Regex (JSON was broken),"[1900, 1910, 200, 201, 1300, 1302, 1600, 1603, 100, 105]"
278,Extracted via Regex (JSON was broken),"[100, 107, 100, 105, 2000, 2011]"
279,Extracted via Regex (JSON was broken),"[1900, 1920, 100, 108]"
280,CRITICAL ERROR: Could not parse JSON,[]
281,Extracted via Regex (JSON was broken),"[100, 107, 500, 502, 1300, 1302]"
282,Extracted via Regex (JSON was broken),"[100, 1000]"
283,CRITICAL ERROR: Could not parse JSON,[]
284,Extracted via Regex (JSON was broken),"[1900, 1920, 700, 705, 100, 105]"
285,Extracted via Regex (JSON was broken),"[1600, 1603, 1608, 1610, 100, 105]"
286,Extracted via Regex (JSON was broken),"[600, 601, 100, 107, 500, 502, 1300, 1302]"
287,Extracted via Regex (JSON was broken),"[200, 202, 100, 107, 500, 502, 500, 508]"
288,Extracted via Regex (JSON was broken),"[230, 100, 107, 1000, 201, 1207]"
289,Extracted via Regex (JSON was broken),"[100, 105, 500, 502]"
290,Extracted via Regex (JSON was broken),"[200, 207]"
291,Extracted via Regex (JSON was broken),"[1900, 1911, 200, 207]"
292,Extracted via Regex (JSON was broken),"[1200, 1207, 1209, 1201, 1203]"
293,Extracted via Regex (JSON was broken),"[1900, 1910, 1600, 1603, 100, 104, 500, 502, 1300, 1302, 2000, 2011]"
294,CRITICAL ERROR: Could not parse JSON,[]
295,Extracted via Regex (JSON was broken),"[800, 801, 100, 105, 500, 502, 1600, 1608]"
296,Extracted via Regex (JSON was broken),"[230, 1201, 1205]"
297,Extracted via Regex (JSON was broken),[100]
298,Extracted via Regex (JSON was broken),"[100, 107, 2000, 2011, 1900, 1910]"
299,Extracted via Regex (JSON was broken),[]
300,Extracted via Regex (JSON was broken),"[1200, 1205, 1600, 1627, 2000, 2011]"
301,Extracted via Regex (JSON was broken),"[100, 107, 100, 105, 100, 101, 100, 103]"
302,Extracted via Regex (JSON was broken),"[100, 107]"
303,Extracted via Regex (JSON was broken),"[1300, 1302, 500, 502]"
304,Extracted via Regex (JSON was broken),"[200, 230]"
305,Extracted via Regex (JSON was broken),"[2000, 2011, 2000, 2012, 2000, 2011, 2000, 2012]"
306,Extracted via Regex (JSON was broken),"[100, 103, 100, 105]"
307,Extracted via Regex (JSON was broken),"[600, 601, 100, 105, 300, 301, 1200, 1205]"
308,Extracted via Regex (JSON was broken),"[300, 301]"
309,Extracted via Regex (JSON was broken),"[700, 709, 100, 101, 300, 301, 500, 502, 1400, 1401]"
310,Extracted via Regex (JSON was broken),"[1207, 1202]"
311,Extracted via Regex (JSON was broken),"[1600, 1603, 1900, 1920]"
312,Extracted via Regex (JSON was broken),"[100, 105, 1300, 1302, 100, 107, 100, 104]"
313,Extracted via Regex (JSON was broken),"[500, 502, 1300, 1302, 100, 105, 100, 105, 1400, 1401, 100, 105, 1300, 1302]"
314,Extracted via Regex (JSON was broken),"[100, 107, 500, 502, 2000, 2011, 2000, 2012]"
315,Extracted via Regex (JSON was broken),"[600, 601, 500, 502, 100, 105, 100, 107]"
316,Extracted via Regex (JSON was broken),"[100, 105, 107, 1300, 1302]"
317,Extracted via Regex (JSON was broken),"[100, 108, 500, 230, 200, 230]"
318,Extracted via Regex (JSON was broken),"[2000, 2011, 300, 301, 500, 502]"
319,Extracted via Regex (JSON was broken),[]
320,Extracted via Regex (JSON was broken),"[100, 105]"
321,Extracted via Regex (JSON was broken),"[100, 108, 100, 107, 200, 208, 200, 208, 200, 208, 100, 108, 300, 301, 600, 601, 100, 108, 600, 601, 100, 108]"
322,Extracted via Regex (JSON was broken),"[1300, 1303, 1304, 500, 502, 500, 502, 500, 503, 500, 503]"
323,Extracted via Regex (JSON was broken),"[100, 103, 100, 105, 100, 107, 1300, 1302]"
324,Extracted via Regex (JSON was broken),"[100, 101]"
325,Extracted via Regex (JSON was broken),"[300, 301, 100, 107, 500, 502]"
326,Extracted via Regex (JSON was broken),"[1600, 1603, 100, 105, 2000, 2011]"
327,Extracted via Regex (JSON was broken),"[300, 301, 100, 105, 500, 502, 200, 230, 2000, 2011]"
328,Extracted via Regex (JSON was broken),"[100, 105, 500, 506, 1300, 1302]"
329,Extracted via Regex (JSON was broken),[]
330,Extracted via Regex (JSON was broken),"[300, 301, 100, 103, 100, 105]"
331,Extracted via Regex (JSON was broken),"[1400, 1401, 500, 502, 100, 107]"
332,Extracted via Regex (JSON was broken),"[500, 502, 504, 505]"
333,Extracted via Regex (JSON was broken),"[1900, 1901, 2000, 2011, 2000, 2012]"
334,Extracted via Regex (JSON was broken),"[100, 107, 200, 230]"
335,Extracted via Regex (JSON was broken),"[200, 230]"
336,Extracted via Regex (JSON was broken),"[100, 105, 100, 107, 300, 301, 1300, 1302]"
337,Extracted via Regex (JSON was broken),"[2000, 2011]"
338,Extracted via Regex (JSON was broken),"[1200, 1205, 1205]"
339,Extracted via Regex (JSON was broken),"[300, 301, 100, 105, 500, 502, 2000, 2011]"
340,Extracted via Regex (JSON was broken),"[100, 105, 500, 502, 1300, 1302, 1200, 1209, 700, 709]"
341,Extracted via Regex (JSON was broken),"[230, 100, 107, 1000, 1001, 1002, 1003, 1004, 1005, 1006, 1209, 1201, 1202, 1203, 1204, 1205, 1206, 1207, 1208, 1209, 1210, 1211]"
342,Extracted via Regex (JSON was broken),"[300, 301, 100, 105]"
343,Extracted via Regex (JSON was broken),"[100, 107, 500, 502, 1400, 1401, 1300, 1302, 100, 104]"
351,Extracted via Regex (JSON was broken),"[800, 806, 100, 105, 500, 502, 700, 705]"
361,Extracted via Regex (JSON was broken),"[1900, 1920, 1600, 1608, 1300, 1304]"
388,Extracted via Regex (JSON was broken),"[700, 709, 400, 401, 800, 806]"
394,Extracted via Regex (JSON was broken),"[1600, 1603, 1900, 1910]"
404,Extracted via Regex (JSON was broken),"[500, 502, 100, 108, 500, 502]"
