text,claim_labels
"I'm telling you it's what the Scottish people want. And Michael, to answer your question, and I think the gentleman in the same role as you, look, Scotland voted overwhelmingly to stay within the European Union. 62%. Not a small margin, a pretty hefty margin. Scotland voted to stay in the European Union. We're going to get dragged out. Now, out of all the nations in this so-called partnership of equals, Scotland is frankly the only one that is getting shafted. England voted to leave, you're going to leave. Wales voted to leave, they're going to leave. Northern Ireland voted to remain, they get a differentiated deal. Scotland votes to stay and we are going to get dragged out. That is completely anti-democratic. Let me just hold on. I want to address the point that the lady made in the second row here on the right. Because not only should 16-year-olds get to vote, as they did in the Scottish independence referendum, but what a disgrace that EU citizens weren't allowed to vote in the EU referendum. What an absolute disgrace that the people it was going to affect the most didn't get the chance to vote. Let me just say this about the parties...","[1900, 1910]"
"Our government will empower people. Our government will not leave anybody behind. That is the whole principle, the golden thread that runs through our manifesto.",[]
"Well, net inward migration is falling as a result of the measures we're taking, and the points system is the key to this. It's done in Australia and in other countries. You can't come in unless you've got a skill to offer if you're from outside the European Union. And that has meant that there is no unskilled workers coming to this country, a reduction in skilled workers, a reduction in university students as well. That is what we're actually doing now, and we're counting people in and out from the end of the year.","[100, 107, 200, 230]"
"Yes, we certainly do.",[]
"I think a lot of people, I think, would ask, though, We have had 13 years of a government that has now only started to talk about addressing this issue. If you look at the numbers, net migration levels before 1997 were never greater than 77,000 a year. Under your government, they have never been less than 140,000 a year. That is a very big number. You are only starting just before an election to take the steps that need to be taken.","[200, 230]"
"Well, look, all my life I've believed in service. That is why I worked in Northern Ireland with the Police Service of Northern Ireland to ensure it had the confidence of both communities. I thought that was a really important thing. That's why I worked and headed up the Crown Prosecution Service. public service. That's why I came into politics when I finished as Director of Public Prosecutions and wondered what to do next. My wife was ringing adverts in the papers about, you know, well-paid lawyers' jobs, and I said, no, I want to serve my country, which is why at a late stage, actually, I came into politics to serve my country.",[]
Have you had experience of this?,[]
Not sure. Not sure.,[]
"Yes, if the circumstances demanded.",[]
"Well, look at Australia. In Australia when it was first...",[]
"The answer would still be no, because the six years I've been leader of the Liberal Democrats, I'm, the last time I counted, on my third leader of the Conservative Party, and I don't base my political activity by who happens to be leader of the Tory Party, and I'm certainly not going to base my future activity by who may or may not be leader of the Labour Party. I'm confident about myself and about the Liberal Democrats, and the other two can look after themselves.",[]
What is helping is ensuring that we don't have a long-term solution.,[]
"I've reflected on this. I think it was right to fight. I think, in my case, it was right to fight from within the Shadow Cabinet.",[]
"I recognise that things have got much more challenging since Boris Johnson and Nigel Farage cooked up a deal to stitch up seats between them. I get that it is a big ask, but I am absolutely fighting for every Liberal Democrat vote and for every Liberal Democrat seat. And we do live in a world where sometimes strange things have happened in politics. I didn't predict that Trump was going to become president. I didn't think Jeremy Corbyn was going to become leader of the Labour Party. So I think we've all made some predictions which have not turned out to come true.",[]
"I take responsibility for the decisions I make, Jeremy.",[]
"When you lose an argument in politics, you tend to resort to abusing your opponent. And we've seen quite a bit of this towards UKIP recently. The fact is, Lee, on your right, a massive increase in our population means we've got to find another quarter of a million primary school places by 2020. It means we have fewer GPs per capita than any other country in Europe. We were in no position to cope with this massive rise in our population. What to do about it? Well, we have to be honest and we have to say, if you're EU members, you cannot do anything about the numbers coming to Britain. My plan would be to have a trade relationship with the EU, to be good neighbours with the EU, but not to be a member of political union. To take back control of our borders and to put in place an Australian-style points system so we can choose the quantity and type of people that come to our country. We would no longer discriminate against people from India in favour of Eastern Europe. It would be a fair, ethical policy and it would work.","[200, 230, 1900, 1910]"
...when it was muted in principle...,[]
"And Lucas, you wanted to come in on that. I did, because I think I want to say to Paul that the best way to secure the rights of UK nationals in EU countries is precisely unilaterally now to guarantee the rights of EU nationals who have come to this country, who have made their lives here in good faith. And let me just say that I am glad there is one party here tonight who will stand up for free movement. You know, it is a wonderful thing that we can live and learn and travel and be in 27 other member states. I want to fight for that right to stay for my kids and their kids, too.","[200, 230, 1900, 1910]"
Yes.,[]
And we are.,[]
"Yeah, I was just mentioning my own experience in terms of asylum seekers, and I'm very proud that in Scotland we've done more than our fair share in terms of both Ukrainian asylum seekers and Syrian refugees as well. But I'm very interested in your own experience in Afghanistan, because I think what the UK did in Afghanistan was utterly appalling. The people they left behind that had acted as intelligence support and various other forms of support, and I say this as an ex-service person myself, was utterly atrocious, betraying those people that should have had safe flight back out of Afghanistan. Very dangerous, I'm to say, given the roles that they played. And I absolutely agree with your point, that if we demonise them non-stop, that's why these problems come. And why are they wanting to demonise them? Because there's other stuff they should be doing, the big parties are not doing, so they go after scapegoats. And it's easy to go after refugees, and it's wrong. for the Greens.","[200, 230, 1900, 1920]"
Thank you very much.,[]
"This is a growing challenge, but I've got a plan to deal with it, because I'm going to put people on planes. What are you going to do with them? I can tell everyone what I'm going to do. You might not like it, but I've got a plan, because we've got to have a deterrent. What are you going to do? Just tell everybody. What are you going to do with illegal migrants who arrive?","[100, 107, 200, 230]"
Yeah.,[]
"Very briefly. I think it is important to know those things, but it's absolutely unclear what that deal would be, what Mr Corbyn proposes to leave, and who in his party proposes to campaign for the deal he's going to do. Thank you.","[1900, 1910]"
"Well, I think what you've got to do, and each of that check list you go through, I think any reasonable person, including any reasonable business person, would acknowledge that those are good practices which good business should be aspiring to.",[]
"They also made it clear that there was extensive intelligence about Saddam. They said however, of course it's necessarily limited; intelligence always is.",[1900]
"It was an inclusive piece of language in order to get a meeting underway. I do not agree with them. I do not support them. I want there to be a process. But at the end of the day, there has to be a process in which people talk to each other. You know that.",[]
It's hard. It's hard. I'll make no bones about it. It's hard.,[]
And I'm glad I did.,[]
I have deplored all acts of terrorism by anybody in Northern Ireland or anywhere else and I think the Good Friday Agreement was a huge achievement that was brought about when both communities recognised their shared but different past and brought about the idea of a power-sharing government in Northern Ireland. I think that was an enormous achievement and It's been copied elsewhere in the world as a way forward. I don't approve of any terrorism of any sort or any terrorist acts of any sort. It only divides communities and kills people. They killed a lot of people. Does that answer the question for you?,"[1900, 1920]"
"Well, look, you know, that's obviously not the way I see it, is it? No, of course it isn't. No, exactly. You know, look, you need a toughness in this job. You need a toughness. People have thrown a lot at me over four and a half years, right? But I'm a pretty resilient guy. And I've been underestimated at every turn. People said I wouldn't become leader, and I did. People said four years ago, he can't become prime minister. I think I can. You're saying I can't win a majority. I think I can. So let people underestimate me. But what I care about is what is happening to the British people in their lives. And I think I can change it. And I know I'm the right man for the job. That's why I'm sitting here. And that's why I believe that I'm the best choice to be prime minister. Ed Miliband, thank you.",[]
"Let me finish. Tony Blair... Tony Blair had a policy that 50% of all 18-year-olds should go to university. Last year, 46% of students left university and took a job whereby you didn't need a degree. We need to reduce the number of students going to university, then we could scrap tuition fees and go back to student grants.","[600, 601]"
"She thought it would be far better to continue being a lawyer on a reasonable salary and not have all of the, you know, challenges that you get as a politician. But I was clear in my mind I wanted to come into politics because I wanted to serve my country. And I've waited nine years now in opposition. I've worked four and a half years to put my party back in a position where I can put it before you and others, the voters, as the only party that's got a plan for the future.",[]
I think you should show some respect to the audience who want to know what I've got to say about this without constantly being interrupted. It really isn't the way to do the debate.,[]
"who live in the UK and who speak louder than words. And what we have is lots of rhetoric around here about helping, for example, those EU nationals who live here, who raise their children here, who work in universities like this, who serve in our hospitals. But when it came to the vote in the House of Commons, the Labour Party did not show up. In the Lords, they instruct their people to vote against the Liberal Democrat amendment, which would have guaranteed that right to remain for EU citizens.","[100, 107, 200, 230]"
This is what will happen if you elect these people. We've become a laughing stock internationally because of your party. Keir Starmer has changed the Labour Party. We're very clear on our number one priority is to protect,[1900]
He keeps saying we're going to raise taxes.,"[100, 107]"
"Let's be clear about what happened yesterday. It was not only politically shameful, but I think many of us feel personally quite insulted. I started yesterday morning watching a recording made by the Royal Mint of my late grandfather. where he recounts catching his best friend who fell from the top of a Sherman tank, who was shot in the head. And as he waded through the water, he recounted in his words, men blown to pieces, hands, legs and heads. If he had been there yesterday and seen the Prime Minister walk away from him, I would have found that completely, as I do now, find it completely and utterly unforgivable.",[]
"Well, well we want to find out what they think. We will talk to them, we will ask them to take in to account when they're considering how many people are needed. Please let me finish when, when we're asking them to consider how many people we need, we'd ask them to take in to account the fact that there are millions of people in the new accession countries of the European Union, who are entitled to come here; so bearing in mind that, you look at what Ireland has done, Ireland taken, taking in to account the number of people who can come here from Eastern Europe, has reduced the number of work permits it gives out, from fifty thousand a year to two and a half thousand a year. I think there may be lessons we can learn from Ireland on this.","[200, 230, 1900, 1910]"
Sorry about that.,[]
"You, me, everyone is fed up. Fed up with the way that Parliament has been paralysed by Brexit. We just want to move on. And with a Conservative government, we can. We have a new Brexit deal ready to go. We'll bring it back to Parliament before Christmas and leave by the end of January. And then we can get back to focusing on your priorities. The NHS, schools and safer streets. But the only way to move on is to elect a Conservative government. So let's end the delay and get Brexit done, because there's so much else that we have to do to move us forward, united, certain, and confident about our future.","[1900, 1910]"
"Well, look, I'm not going to apologize.",[]
Thank you very much.,[]
"The truth, Nigel, that wasn't the truth. Are you going to apologise?",[]
"I understand why people like Christopher are very frustrated about the European Union and some of the things that have happened. And I think one of the reasons that people are so angry is that politicians at Westminster have given away powers to Brussels without asking us, the people, first. And I think people felt particularly cheated when the European Constitution came forward, and we were told we were going to get a referendum, and Gordon Brown and Labour stopped that from happening, and Nick Clegg and the Liberal Democrats didn't vote with us to get that referendum. We should have had one. People feel cheated by that. And as a result, one of the things I would do, if I was your Prime Minister, is straight away pass a law through Parliament that says if ever there's a future occasion when laws are being proposed to pass power from Westminster to Brussels, there would be a guarantee of a referendum held in our country. You send us to Parliament to make decisions, to make laws, to discuss the issues. Yes, you don't send us there to give away powers that belong to you. There should be a referendum guarantee if ever this happens again.","[1900, 1910]"
"The Labour Party, they say they can get a deal done in three months. But all these other politicians are saying that the deal can't be sorted in 12 months. There's no logic to your position. From a negotiating point of view, you have to be prepared to walk away from any negotiation, otherwise you will get a bad deal. It is as simple as that.","[1900, 1910]"
"Thank you gentlemen. Joe Swinson. Lie, lie, lie, lie, lie.",[]
"Well, I don't agree with them.",[]
But...,[]
"No you've, you've, no, that's not true. My father came to this country to do a job. He was an economic migrant if you like. He was not a, he was not a refugee.","[100, 107, 200, 230]"
Do it. In our manifestos.,[]
"Daisy Cooper. Not on the table of this election, unfortunately, but at some point in the future, I very much hope so.",[]
"Whatever you might think of it, it is an idea that's transformational for our society. Well, the army don't like it. Keir Starmer, all he can do is sneer at it. Sneer at it, because you don't have any ideas for the future. You don't have anything that's bold that's going to transform our country for the better. And in fact, everywhere I've been since I've made the announcement, I've had people talking to me about how they think it will be wonderful for their children, how they think it will change our country for the better. And it's an example of the bold action that I'm prepared to take to do things differently to deliver a more secure future. You don't have big ideas like that.",[]
will you actually stop the boat? About 800 people have arrived today.,"[200, 230]"
"Are you studying at the moment? Where are you studying? Here. Oh, you're at your uni. OK. And what work do you want to do?",[]
"If you look at the position which you sight the example you sight of GM crops in Scotland, there is not going to commercial explotation, and that I think is correct. But there was a legal advice given to the ministers, the Liberal Democrat ministers in the Scottish Executive, as to what the constitutional and legal requirements were upon them, and they adhered to that.",[]
"I will tell exactly the truth, which is that the freedom to move around the European Union should not be the same as the freedom to claim. That's irrelevant. It's irrelevant. It's not about benefit. It's about movement of people. Your problem is you seem to imply anyone who's foreign who comes to this country is a menace. We simply can't as a country... We've said nothing of the kind. We must remain generous-spirited and open-minded to the rest of the world.","[200, 230, 1900, 1910]"
But that's an illustrative figure yes.,[]
Record levels of taxes on working people.,"[100, 107]"
Nigel Farage wants to make this an immigration election for his own self-interest. Let's change the tone.,"[200, 230]"
"Well, I was in Scotland yesterday actually talking about precisely that, but let me answer your question because it's not the case. What did you say to them? That I would... I said... In Scotland, that is. Right, I said I'd deal with Scotland, but I must deal with the other point as well.",[]
"No. No, of course not. Of course not. No, of course that's not the thing. And actually, what we said we would do is set up a royal commission, which we haven't had in this country for actually about 25 years. And they're set up independently to look at big things like this. And there are lots of models from across Europe that you can look at to make sure that we have an appropriate mix. Appropriate mix of incentives and sanctions. And that's how other countries do it. And actually, if you talk to other countries around Europe, when you talk to them, actually, the percentage of young people that recommend it and love it is extremely high.","[1900, 1910]"
What's your name?,[]
