id,llm_predicted_codes
227,"[1800, 1803, 807]"
228,[]
229,"[1900, 1920, 1603, 705]"
230,"[200, 230, 500, 529]"
231,[]
232,[]
233,"[200, 230, 500, 529, 1200, 1203, 1205, 1600, 1608]"
234,"[200, 207, 100, 105, 1000, 1200, 1303, 1401, 1501]"
235,[]
236,"[200, 207]"
237,"[200, 230, 500, 529]"
238,[]
239,"[300, 325, 100, 105, 101]"
240,[]
241,[]
242,"[1200, 1205, 1209, 1207, 1208, 1201]"
243,"[1200, 1203, 1205, 230, 1600, 1608]"
244,[]
245,[]
246,"[800, 803, 807]"
247,"[100, 105]"
248,[]
249,"[1500, 1501, 107]"
250,[]
251,"[300, 301, 325, 507, 100, 107, 104]"
252,"[1400, 1406, 601, 1501]"
253,"[100, 105, 101]"
254,"[1000, 1401, 100, 105, 101]"
255,"[1303, 1305, 1304, 1302, 1301, 1300, 1501]"
256,"[200, 207, 1000, 1001]"
257,[]
258,[]
259,"[1900, 1803, 1806, 1000, 1002, 200, 230, 500, 508]"
260,[]
261,"[600, 601, 1000, 1001]"
262,[]
263,"[2000, 2011, 100, 101, 104, 107, 108, 1600, 1603, 1608, 1900, 1901]"
264,"[1400, 1401, 1406, 1407, 1501, 1521]"
265,"[200, 207, 1000, 1001]"
266,"[600, 603, 601, 604, 606]"
267,"[1300, 1303, 1401, 1409, 800, 807]"
268,"[200, 230, 500, 529, 1203, 1205, 1209]"
269,"[100, 103, 105, 507]"
270,[]
271,"[1900, 1907, 100, 101]"
272,[]
273,[]
274,"[1900, 1803, 700, 705]"
275,"[1800, 1803, 200, 230, 500, 508]"
276,"[1500, 1501, 1401, 1406, 100]"
277,"[200, 230, 1900, 1901, 1907]"
278,"[100, 107, 101]"
279,"[1900, 1920, 108, 101]"
280,"[1200, 1203, 1205, 230, 1901]"
281,"[200, 230, 500, 529, 1000]"
282,[]
283,[]
284,"[700, 705, 800, 807]"
285,"[1600, 1608, 1609, 1610]"
286,"[600, 601, 604, 605, 500, 505, 508, 1500, 1521]"
287,[]
288,"[200, 230, 1200, 1207, 1209]"
289,[]
290,[]
291,"[1900, 1901, 200, 201, 207]"
292,"[1200, 1207, 1209, 1205]"
293,"[1600, 1603, 1608, 1610, 1901]"
294,[]
295,"[1600, 801, 807, 500, 502]"
296,"[200, 230, 1200, 1209, 1205]"
297,[]
298,"[1900, 1911, 1000, 1001]"
299,[]
300,"[1200, 1205, 1603]"
301,"[100, 107, 101, 1000, 1001]"
302,"[1500, 107]"
303,"[500, 505, 1401]"
304,"[200, 230]"
305,"[2001, 2011, 2012, 2000]"
306,"[100, 105, 101]"
307,"[600, 602, 603, 605, 807]"
308,"[300, 301, 325]"
309,"[700, 701, 705, 701, 706, 708, 709]"
310,"[1200, 1203, 1207]"
311,"[1900, 1911, 1200, 1209]"
312,"[1303, 1305, 100, 105, 107]"
313,"[1300, 1302, 1401, 1501, 500, 506, 507]"
314,[]
315,"[600, 604, 1401, 1409]"
316,"[100, 105, 107, 500, 507]"
317,"[200, 230, 500, 529]"
318,"[2001, 301, 325, 507, 508]"
319,[]
320,[]
321,"[1900, 1803, 200, 230, 300, 601, 602, 603, 604, 701, 703, 705, 807]"
322,"[1303, 1305, 500, 504, 505, 601, 602, 603, 604, 606, 1302, 1304, 1301]"
323,"[100, 101, 105, 107, 700, 1302, 1304]"
324,[]
325,"[301, 107, 344]"
326,"[1600, 1608, 1603]"
327,"[300, 325, 500, 230, 101, 107]"
328,"[500, 506, 105]"
329,[]
330,"[300, 325]"
331,"[1400, 1401, 1406, 500, 529]"
332,"[500, 504, 505]"
333,"[1900, 1911, 207, 1000, 1001]"
334,"[500, 529]"
335,"[1200, 1203, 1205]"
336,"[100, 105, 107, 301, 201, 207, 1203, 1205, 1302, 1401]"
337,"[2001, 2011]"
338,"[1200, 1205]"
339,"[300, 301, 325, 331, 334, 101, 105, 107]"
340,"[1200, 1209, 1205, 1207, 1208, 1201]"
341,"[200, 230, 1200, 1209, 1205, 1901]"
342,"[100, 105, 301, 807]"
343,"[1401, 1406, 1409, 507, 100]"
351,"[800, 801, 806, 807]"
361,"[1600, 1608, 1609, 1610, 1603]"
388,"[700, 701, 703, 705, 709, 401, 406, 408, 334]"
394,"[1600, 801, 1603]"
404,"[1200, 1209, 1203, 1208]"
416,"[200, 207, 1800, 1806, 300, 301]"
429,"[300, 321, 101, 105]"
432,"[300, 301, 325, 321, 108, 101]"
447,[]
455,"[500, 503, 1304, 1302, 1305, 1303]"
484,"[1200, 1205, 1206, 1208, 1209, 500, 504, 507]"
624,[]
628,"[300, 321, 331, 334, 344, 1000, 1203, 1208, 1401, 1409]"
671,[]
737,"[700, 705, 807]"
748,"[1000, 1003, 1005, 1006, 705, 807]"
998,"[1600, 1603, 1608, 1609, 1610]"
1222,"[1200, 1203, 1204, 344, 1205]"
1361,[]
1420,"[1200, 1209, 1205, 1201, 1203]"
1426,"[500, 506, 101, 103, 105, 301, 601, 604]"
1756,"[200, 207, 208, 600, 606, 700, 701, 705, 709, 1900, 1400, 1500, 1600, 1800, 1900, 2000, 2011, 2012, 2032]"
2601,"[400, 406, 407, 500, 529, 200, 230, 1000, 2011, 2012]"
3070,"[1800, 1803]"
3356,"[200, 201, 202, 207, 208, 1000, 1001, 500, 502, 503, 2011, 2012]"
