id,claim_labels
95,"[1600, 1603, 1609, 1000, 1001, 1003, 1005, 1006]"
96,"[100, 105, 101, 103, 200, 207, 1000, 1002]"
97,"[600, 601, 604]"
98,"[600, 603, 601, 604]"
99,"[1900, 1901, 100, 107, 301, 1000, 1002, 700, 705]"
100,[]
101,"[2001, 2012]"
102,"[1000, 1001, 1303, 100, 107, 1000, 1001, 1303]"
103,"[1600, 1627]"
104,"[500, 503, 600, 601, 301, 334]"
105,[]
106,"[1500, 1501, 507]"
107,"[300, 301, 325, 331, 334, 100, 105, 101]"
108,[]
109,[]
110,"[200, 201, 1901, 1930]"
111,[]
112,"[100, 105]"
113,[]
114,[]
115,"[2000, 2012]"
116,"[600, 604, 601, 503, 500, 508, 1401, 1406]"
117,[]
118,"[200, 202, 207]"
119,"[300, 301]"
120,"[1303, 1304, 1305, 200, 201, 202, 2032]"
121,"[1600, 1603, 1609, 1200, 1203, 1207]"
122,"[200, 202, 207, 1209]"
123,"[100, 105, 107, 101]"
124,"[1800, 1901, 1000, 1002]"
125,[]
126,[]
127,"[100, 105, 107]"
128,"[1000, 1001, 1002, 1005, 500, 502]"
129,"[200, 230]"
130,"[1000, 1002, 1006, 1005, 807]"
131,"[1900, 1910, 200, 230, 1304]"
132,"[100, 105, 1302, 1304, 200, 230, 500, 508]"
133,"[1303, 100, 105]"
134,"[1602, 1603, 1609]"
135,"[1900, 1910, 1000, 1002]"
136,"[500, 502, 200, 230, 1302, 1000, 1002]"
137,[]
138,"[100, 107, 105, 301, 331, 602, 603, 1208]"
139,"[600, 603]"
140,"[700, 705, 807, 100, 105, 1303]"
141,[]
142,[]
143,[]
144,"[1800, 1803]"
145,"[1000, 1002, 600, 603, 600, 604, 500, 508, 1300, 1303, 1304]"
146,[]
147,"[1602, 1603, 200, 207]"
148,[]
149,"[1200, 1203, 1205, 1209, 1202, 1207]"
150,"[100, 105, 101, 103, 107, 108, 500, 502, 503, 504, 505, 506, 508]"
151,"[1200, 1209, 500, 529, 200, 230]"
152,"[1200, 1202]"
153,"[200, 201, 202, 2032, 1901, 1907, 1909, 1910, 1920, 1930, 2001, 2011, 2012]"
154,[]
155,"[800, 806, 807, 100, 105]"
156,"[2001, 2012]"
157,"[100, 107, 101, 103, 300, 301, 331, 334]"
158,[]
159,"[2000, 2012, 300, 301, 332, 334]"
160,[]
161,"[500, 503, 505, 506, 1303, 1304]"
162,"[1200, 1209, 1603, 200, 230, 500, 529]"
163,"[1200, 1209, 1203, 1205, 1202]"
164,[]
165,"[200, 230, 500, 529]"
166,[]
167,[]
168,"[500, 502, 1000, 1001, 1003, 2000, 2011]"
169,"[1600, 801]"
170,"[2000, 2012]"
171,"[200, 230, 500, 529, 1000, 1002, 1003, 1005, 600, 601, 604, 1401, 1406, 100]"
172,"[100, 105, 101, 103, 107, 100, 101, 103, 107, 100, 101, 103, 107]"
173,"[300, 325]"
174,"[1303, 1304, 100, 105, 101]"
175,"[1400, 1401, 1406]"
176,"[1501, 1521, 100, 107, 101]"
177,[]
178,"[2000, 2032]"
179,"[1800, 1803, 1000, 1002]"
180,"[1900, 1920, 1200, 1202]"
181,"[100, 105, 101, 1000, 2011]"
182,"[800, 807, 1000, 1002, 200, 230]"
183,"[1400, 1401, 1406, 1409, 1401, 1406, 1409, 1000, 1002]"
184,"[200, 202, 207, 208, 608]"
185,"[100, 107, 105]"
186,"[1500, 1501, 107]"
187,"[200, 207, 1200, 1207, 1300, 1304, 1401]"
188,"[2000, 2012, 100, 107]"
189,[]
190,[]
191,"[300, 301, 100, 105, 1000, 1002]"
192,"[300, 301]"
193,"[107, 105, 101]"
194,"[100, 105, 107, 301, 602, 1000, 1002]"
195,"[100, 107, 500, 502]"
196,"[600, 603, 604, 601, 2001, 2012]"
197,[]
198,"[2000, 2012]"
199,"[1000, 1002, 500, 503, 100, 107]"
200,"[1900, 1926]"
201,[]
202,[]
203,"[100, 101, 105, 107, 108, 500, 503, 507, 508, 1303, 1401, 1409, 1602, 1803, 1900, 2001, 2011, 2032]"
204,"[100, 107, 500, 505, 1000, 1001]"
205,"[200, 201]"
206,[1900]
207,"[200, 201, 1901, 1909]"
208,[]
209,[]
210,[]
211,"[1800, 1803]"
212,"[100, 105, 1200, 1203, 1209, 1602, 1603, 1609, 1610]"
213,"[200, 207]"
214,[]
215,"[1400, 1302, 1304, 500, 508, 1500, 1521]"
216,"[600, 602, 603, 604, 506, 500, 504, 505]"
217,"[600, 604, 800, 807]"
218,[]
219,"[300, 301]"
220,"[100, 105]"
221,"[1000, 1002, 500, 507, 100, 107, 800, 807, 500, 506, 1000, 1005, 500, 507, 100, 108, 800, 806]"
222,"[200, 201, 1000, 1002, 300, 301, 500, 503, 600, 601, 800, 807, 1000, 1003, 1200, 1208, 1300, 1303, 1400, 1406, 1900, 1910, 2000, 2012]"
223,"[700, 705, 701, 706, 703]"
224,"[300, 331, 334, 100, 107]"
225,"[300, 301, 325, 331, 332, 334, 344]"
226,"[500, 506, 300, 325]"
227,"[1800, 1900, 1000, 1001]"
228,[]
229,"[1900, 1930, 700, 801]"
230,"[200, 230, 500, 529]"
231,[]
232,[]
233,"[200, 230, 500, 529, 1000, 1001]"
234,"[200, 207, 1000, 1006, 500, 508, 1303, 1401, 1501]"
235,"[200, 207, 500, 508, 600, 603, 606, 301, 334, 1303, 1304, 1305, 1401, 1406, 1407, 1410]"
236,"[200, 207]"
237,"[200, 230, 500, 529]"
238,[]
239,"[300, 301, 105, 100]"
240,[]
241,[]
242,"[1200, 1207, 500, 508, 1209, 1202]"
243,"[1200, 1209, 1000, 1003, 1900, 1911]"
244,[]
245,[]
246,"[800, 803, 107]"
247,"[100, 105]"
248,[]
249,"[100, 107, 1303, 1401]"
250,[]
251,"[1303, 1304, 500, 507, 107, 105]"
252,"[1400, 1401, 1406, 1409, 1501, 1504]"
253,[]
254,"[100, 105, 101, 200, 230, 500, 508]"
255,"[1303, 1304, 1305, 100, 105, 107]"
256,"[200, 201, 207, 100, 105, 1000, 1002]"
257,"[100, 105, 107, 190, 1901]"
258,"[300, 301, 200, 230, 500, 529, 507]"
259,[]
260,[]
261,"[1000, 1001, 500, 502]"
262,[]
263,[]
264,"[1400, 1401, 1406, 1409, 600, 604, 1501, 1504]"
265,"[2000, 2012]"
266,"[600, 603, 601, 605, 1000]"
267,"[1300, 1303, 1401, 1304, 1305, 1302]"
268,"[500, 529, 507, 508, 100, 105, 107]"
269,"[100, 103, 105, 500, 504]"
270,"[200, 207]"
271,"[1900, 1907, 100, 107]"
272,[]
273,[]
274,"[1900, 1920, 700, 701, 500, 502, 508]"
275,"[1800, 1900, 200, 230, 500, 508]"
276,"[1500, 1501, 1401, 1007]"
277,[]
278,"[100, 107, 1900, 1901]"
279,"[1900, 1920, 1200, 1203, 1209]"
280,"[1200, 1203, 1205, 1900, 1803]"
281,"[200, 230, 500, 529, 1000, 1002]"
282,[]
283,[]
284,"[700, 705, 1000, 807]"
285,"[1600, 1601, 1603, 1609]"
286,"[600, 604, 500, 508, 1500, 1521]"
287,"[200, 201, 202, 207, 208, 500, 508, 503, 1000, 1002]"
288,"[200, 230, 1200, 1209]"
289,"[2001, 2012, 2032]"
290,[]
291,"[1900, 1901, 200, 201, 202, 207]"
292,"[1602, 1603, 700, 701]"
293,"[1600, 1603, 1609, 1610, 1901, 1907, 2000, 2011]"
294,[]
295,"[1600, 801, 1000, 1002, 500, 506]"
296,"[200, 230, 1200, 1209]"
297,[]
298,"[2000, 2012]"
299,[]
300,"[1200, 1202, 1205, 1207]"
301,"[1800, 1803]"
302,"[100, 107]"
303,"[500, 503, 1302]"
304,"[200, 230]"
305,"[2000, 2012, 2032]"
306,"[100, 105, 101]"
307,"[600, 601, 603, 604, 605, 1000, 1002, 1200, 1207, 1300, 1303]"
308,"[300, 301]"
309,"[700, 701, 705, 800, 807, 100, 107, 400, 408, 500, 506, 600, 604, 200, 207]"
310,"[1200, 1207, 1203]"
311,"[200, 230, 1600, 1627]"
312,"[1303, 1305, 100, 107, 101]"
313,"[1300, 1302, 1401, 1500, 500, 506, 100, 105, 107]"
314,"[107, 105, 1000, 1001, 201, 202, 2032]"
315,"[600, 604, 1401, 1000, 1002]"
316,"[100, 105, 107, 500, 503]"
317,"[200, 230, 500, 529]"
318,[]
319,[]
320,[]
321,"[1900, 1803, 200, 230, 600, 601, 700, 701]"
322,"[1303, 1304, 500, 504, 505, 600, 601, 602, 603, 604, 606, 508, 529, 1302, 1305]"
323,"[100, 105, 800, 700, 1302]"
324,[]
325,[]
326,"[1600, 1603, 1609, 1610]"
327,"[300, 325, 500, 529, 200, 230, 100, 105, 107]"
328,"[600, 603, 500, 506]"
329,[]
330,"[600, 603]"
331,"[1400, 1401, 1406, 500, 529]"
332,"[500, 504, 505, 506]"
333,"[1900, 1909, 200, 201, 207]"
334,"[200, 230, 500, 529]"
335,"[200, 230, 1200, 1206, 1209]"
336,"[100, 105, 107, 108, 200, 202, 207, 208, 1303, 1304, 1305, 1401, 1406, 1407, 1410, 1501, 1521, 1600, 1627, 1900, 2001, 2011, 2012, 2032]"
337,[2001]
338,"[1200, 1207]"
339,[]
340,"[1200, 1209, 100, 105, 200, 207]"
341,"[200, 230, 500, 529, 2000, 2012]"
342,"[100, 105, 301, 807]"
343,"[1400, 1401, 1406, 1409, 1500, 1521]"
351,"[800, 801, 806, 807, 803]"
361,"[1600, 1603, 1608, 1609, 1610, 1930, 2000]"
388,[]
394,"[1600, 1601, 1603, 800, 801]"
404,"[1200, 1209, 108, 1205]"
416,"[200, 207, 1000, 1001, 500, 508, 1000, 1001]"
429,"[300, 301, 321, 1000, 1001]"
432,"[300, 301, 334, 344, 100, 105, 108, 201, 202, 207]"
447,"[100, 105, 200, 2011, 2012]"
455,"[500, 503, 504, 505, 508, 1303, 1304, 1302, 1305, 100]"
484,"[1200, 1205, 1207, 1304]"
624,"[1000, 1002, 1005, 1006, 1800, 1900, 200, 230, 500, 529, 1400, 1407]"
628,"[300, 301, 321, 331, 344, 100, 103, 104, 105, 107, 108, 140, 1401, 1409]"
671,[]
737,"[700, 701, 703, 705, 709, 807]"
748,"[1000, 1003, 1005, 1006, 807]"
998,"[1600, 1603, 1608, 1609, 1610]"
1222,"[1200, 1203, 1205, 344]"
1361,"[100, 107, 301, 332, 701, 1000, 1200, 1300, 1400]"
1420,"[1200, 1209, 1207, 1205, 1202]"
1426,"[500, 506, 1000, 1002, 1006, 1005, 600, 601, 603, 1001]"
1756,"[200, 207, 600, 601]"
2601,[]
3070,"[1800, 1803]"
3356,"[200, 201, 202, 2032, 1000, 1001, 500, 502, 508, 1303, 1304, 1401, 1406]"
