id,supercategories,claim_labels
146,"[1900, 1000]","[1000, 1001, 1900, 1901]"
147,"[1600, 200]","[200, 201, 1600, 1627]"
148,[],[]
149,[1200],"[1200, 1202, 1203, 1205, 1209]"
150,"[100, 500]","[100, 105, 500, 502, 503]"
151,[1200],"[1200, 1202, 1209]"
152,[1200],"[1200, 1202]"
153,"[200, 1900]","[200, 201, 1900, 1901, 1907]"
154,[],[]
155,[800],"[800, 806]"
156,[2000],"[2000, 2012]"
157,"[100, 300]","[100, 107, 300, 301]"
158,"[100, 200, 1400]","[100, 105, 200, 201, 1400, 1401]"
159,"[300, 2000]","[300, 301, 2000, 2011, 2012]"
160,[],[]
161,"[100, 500, 1300]","[100, 105, 500, 502, 1300, 1302]"
162,"[1200, 1000, 200]","[200, 201, 1000, 1001, 1200, 1202]"
163,[1200],"[1200, 1202, 1205, 1209]"
164,[2000],[2000]
165,[200],"[200, 230]"
166,"[2000, 500]","[500, 502, 2000, 2012]"
167,[],[]
168,"[500, 2000]","[500, 504, 2000, 2012]"
169,"[1600, 1900]","[1600, 1603, 1900, 1901]"
170,"[1000, 2000]","[1000, 1001, 2000, 2011]"
171,"[500, 1300]","[500, 508, 1300, 1302, 1303]"
172,"[100, 500]","[100, 105, 500, 502, 504]"
173,[300],"[300, 331]"
174,[1300],"[1300, 1303]"
175,[1400],"[1400, 1401]"
176,"[100, 500, 1500]","[100, 105, 500, 502, 1500, 1501]"
177,"[100, 200, 1000]","[100, 105, 200, 201, 1000, 1002]"
178,[2000],"[2000, 2032]"
179,"[100, 1800]","[100, 105, 1800, 1803]"
180,"[1900, 1600]","[1600, 1603, 1900, 1907]"
181,[100],"[100, 105]"
182,[700],"[700, 701, 705]"
183,"[1400, 1300]","[1300, 1302, 1400, 1401, 1406]"
184,[200],"[200, 202]"
185,"[100, 200]","[100, 105, 107, 200, 201]"
186,[100],"[100, 107]"
187,"[200, 1300]","[200, 207, 1300, 1303, 1304]"
188,"[1000, 200]","[200, 201, 1000, 1002]"
189,"[1800, 1900]","[1800, 1803, 1900, 1901]"
190,"[1000, 200, 300]","[200, 201, 300, 301, 1000, 1002]"
191,"[300, 100]","[100, 105, 300, 301]"
192,[300],[300]
193,[100],"[100, 107]"
194,"[100, 1500]","[100, 105, 107, 1500, 1501]"
195,"[100, 200]","[100, 107, 200, 201]"
196,"[100, 600]","[100, 101, 103, 104, 105, 107, 200, 201, 202, 203, 204, 600, 603, 604]"
197,[],[]
198,"[500, 1500]","[500, 504, 1500, 1521]"
199,"[100, 200]","[100, 105, 200, 201]"
200,[1900],"[1900, 1926]"
201,[500],"[500, 502]"
202,[],[]
203,[],[]
204,"[100, 200]","[100, 107, 200, 201]"
205,"[1000, 200]","[200, 201, 1000, 1001]"
206,[1900],[1900]
207,"[1000, 2000]","[1000, 1002, 2000, 2012]"
208,[2000],[2000]
209,"[100, 500]","[100, 105, 500, 503, 507]"
210,[],[]
211,"[1800, 1900]","[1800, 1803, 1900, 1901]"
212,"[100, 1200]","[100, 105, 1200, 1202, 1203, 1209]"
213,"[200, 1000]","[200, 207, 1000, 1001]"
214,[],[]
215,"[500, 1300, 1400]","[500, 505, 1300, 1302, 1400, 1401]"
216,[600],"[600, 602, 604]"
217,"[600, 500]","[500, 502, 506, 600, 601]"
218,[100],"[100, 107]"
219,"[300, 200]","[200, 201, 300, 301]"
220,"[100, 1400]","[100, 105, 1400, 1410]"
221,"[100, 200, 500, 700]","[100, 105, 200, 201, 500, 507, 700, 705]"
222,[],[]
223,"[700, 800]","[700, 701, 705, 800, 807]"
224,"[300, 100]","[100, 105, 300, 301]"
225,[300],"[300, 301, 325, 331]"
226,"[500, 300]","[300, 331, 500, 506]"
227,"[100, 1800]","[100, 105, 1800, 1803]"
228,"[100, 200, 700]","[100, 105, 200, 201, 700, 705]"
229,"[1900, 800, 700]","[700, 701, 800, 807, 1900, 1901]"
230,"[200, 1800]","[200, 230, 1800, 1803]"
231,[100],"[100, 107]"
232,[],[]
233,"[200, 1800]","[200, 230, 500, 529, 1800, 1803]"
234,"[100, 130, 300]","[100, 107, 130, 300, 301, 1300, 1302]"
235,"[200, 300, 600]","[200, 207, 300, 301, 325, 500, 508, 600, 604]"
236,"[200, 1000]","[200, 207, 1000, 1001]"
237,"[200, 1800]","[200, 230, 1800, 1803]"
238,[2000],[2000]
239,"[100, 300]","[100, 103, 105, 300, 301]"
240,[],[]
241,"[300, 1000]","[300, 301, 1000, 1001]"
242,"[1200, 500, 200]","[200, 201, 500, 508, 1200, 1207]"
243,"[200, 500, 1400]","[200, 230, 500, 529, 1400, 1401]"
244,[],[]
245,"[500, 100, 1300]","[100, 105, 500, 502, 1300, 1302]"
246,"[100, 800]","[100, 107, 800, 803]"
247,"[100, 1300]","[100, 105, 1300, 1302]"
248,[],[]
249,[100],"[100, 105, 107]"
250,[],[]
251,"[100, 130, 150]","[100, 105, 1300, 1302, 1500, 1501]"
252,"[1400, 600]","[600, 601, 1400, 1401, 1406]"
253,"[100, 200]","[100, 105, 200, 201]"
254,"[100, 1400]","[100, 105, 1400, 1401]"
255,"[1300, 100, 300]","[100, 105, 300, 301, 334, 1300, 1303]"
256,[2000],"[2000, 2012]"
257,"[100, 200]","[100, 105, 107, 200, 201]"
258,"[300, 200]","[200, 201, 230, 300, 301]"
259,"[1800, 2000]","[1800, 1803, 2000, 2001, 2011]"
260,[],[]
261,"[100, 600]","[100, 105, 600, 601]"
262,"[300, 1000]","[300, 301, 325, 331, 334, 1000, 1001, 1002]"
263,"[100, 200, 500]","[100, 105, 200, 201, 500, 502, 504]"
264,"[1400, 100]","[100, 101, 105, 1400, 1401, 1406]"
265,[2000],"[2000, 2011]"
266,"[100, 130, 600]","[100, 105, 130, 600, 604, 1300, 1303]"
267,"[1300, 1400]","[1300, 1302, 1304, 1400, 1401, 1409]"
268,"[500, 200]","[200, 201, 500, 529]"
269,"[100, 500]","[100, 105, 500, 503, 504]"
270,[200],"[200, 207]"
271,"[100, 200]","[100, 105, 200, 201]"
272,[],[]
273,[],[]
274,"[1900, 700]","[700, 701, 705, 1900, 1901]"
275,"[100, 180, 200]","[100, 105, 200, 201, 1800, 1803]"
276,"[100, 1400]","[100, 105, 1400, 1401, 1409]"
277,"[200, 1900, 1600]","[200, 201, 1600, 1603, 1900, 1901]"
278,"[100, 200]","[100, 107, 200, 201]"
279,"[1600, 1900]","[1600, 1603, 1609, 1900, 1901]"
280,"[200, 500, 1000]","[200, 201, 500, 507, 1000, 1002]"
281,"[200, 500, 1400]","[200, 230, 500, 508, 1400, 1410]"
282,[],[]
283,[],[]
284,"[700, 800]","[700, 705, 800, 807]"
285,[1600],"[1600, 1603, 1609]"
286,"[600, 500]","[500, 504, 508, 600, 601, 605]"
287,"[200, 600]","[200, 201, 600, 603, 604, 605, 607]"
288,"[200, 1800]","[200, 230, 1800, 1803]"
289,[500],"[500, 504, 505]"
290,[],[]
291,"[1000, 2000]","[1000, 1001, 2000, 2012]"
292,"[160, 1200]","[100, 160, 1200, 1202, 1600, 1627]"
293,"[1600, 2000]","[1600, 1603, 1609, 2000, 2011]"
294,[],[]
295,"[800, 1600]","[800, 801, 1600, 1603, 1609]"
296,"[200, 500, 1300]","[200, 230, 500, 529, 1300, 1302]"
297,[],[]
298,[1900],"[1900, 1901]"
299,[],[]
300,[1200],"[1200, 1202, 1207]"
301,"[100, 180, 190]","[100, 105, 180, 190, 1800, 1803, 1900, 1901]"
302,[100],"[100, 107]"
303,"[1300, 500]","[500, 502, 1300, 1302]"
304,[200],"[200, 230]"
305,[2000],"[2000, 2012]"
306,[100],"[100, 105]"
307,[],[]
308,[300],"[300, 301]"
309,"[700, 400]","[400, 406, 408, 700, 701]"
310,[1200],"[1200, 1207]"
311,[1900],"[1900, 1926]"
312,"[100, 1300, 1400]","[100, 105, 1300, 1303, 1400, 1401]"
313,"[1300, 500, 1400]","[500, 508, 1300, 1302, 1303, 1400, 1401]"
314,"[100, 200, 2000]","[100, 107, 200, 201, 2000, 2011, 2012]"
315,"[600, 500, 1400]","[500, 502, 600, 601, 1400, 1401]"
316,"[100, 200]","[100, 105, 107, 200, 201]"
317,"[200, 500, 1400]","[200, 230, 500, 529, 1400, 1401]"
318,"[200, 300]","[200, 201, 300, 301, 325]"
319,[],[]
320,[100],"[100, 105]"
321,"[1800, 200]","[200, 201, 1800, 1803]"
322,"[1300, 500]","[500, 502, 504, 505, 1300, 1303, 1304]"
323,"[100, 1000, 1300]","[100, 105, 1000, 1002, 1300, 1302]"
324,[],[]
325,"[500, 300]","[100, 107, 300, 301, 500, 504]"
326,"[1600, 100]","[100, 105, 1600, 1603, 1609]"
327,"[500, 300, 200]","[200, 201, 300, 301, 500, 505]"
328,"[100, 1300, 500, 600]","[100, 105, 500, 502, 600, 603, 1300, 1302]"
329,[],[]
330,[300],"[300, 331]"
331,"[400, 1400]","[400, 401, 1400, 1401, 1406]"
332,[500],"[500, 504, 506]"
333,[2000],"[2000, 2012]"
334,"[500, 1300]","[500, 529]"
335,[200],"[200, 230]"
336,[100],"[100, 105, 107]"
337,[2000],[2000]
338,[1200],"[1200, 1202]"
339,[300],"[300, 301, 325, 331]"
340,"[100, 1300]","[100, 105, 1300, 1302, 1303]"
341,"[200, 1800]","[200, 230, 1800, 1803]"
342,"[100, 1300, 300]","[100, 105, 300, 301, 1300, 1302]"
343,"[1400, 1300]","[1300, 1302, 1304, 1400, 1401, 1409]"
351,[800],"[800, 801, 803, 806]"
361,"[1600, 2000]","[1600, 1603, 1608, 1609, 1610, 2000, 2001]"
388,"[700, 400, 800]","[400, 406, 700, 701, 800, 803, 807]"
394,[1600],"[800, 801, 1600]"
404,[1200],"[1200, 1205, 1208, 1209]"
416,"[200, 1000, 1500]","[200, 207, 1000, 1001, 1500, 1524]"
429,"[300, 1000]","[300, 301, 1000, 1001]"
432,"[300, 1000]","[300, 301, 331, 1000, 1001, 1002]"
447,"[100, 200]","[100, 105, 200, 201, 2000, 2011]"
455,"[500, 1300]","[500, 504, 1300, 1302, 1303, 1304]"
484,[1200],"[1200, 1205, 1207]"
624,"[1800, 1900]","[1800, 1803, 1900, 1901, 1909]"
628,"[300, 1000]","[300, 301, 331, 1000, 1001]"
671,"[1300, 200]","[200, 201, 202, 207, 1300, 1302]"
737,[700],"[700, 701, 705, 709]"
748,"[1000, 700]","[700, 701, 705, 1000, 1003, 1005, 1006]"
998,"[1600, 1300]","[1300, 1303, 1600, 1603, 1609]"
1222,"[1200, 344]","[300, 344, 1200, 1203]"
1361,"[100, 300, 700, 200]","[100, 105, 107, 200, 201, 207, 300, 301, 331, 334]"
1420,[1200],"[1200, 1202, 1205, 1209]"
1426,"[500, 600]","[500, 506, 600, 604]"
1756,"[200, 600]","[200, 201, 207, 600, 603]"
2601,"[100, 400, 500, 200]","[100, 105, 200, 201, 230, 400, 408, 500, 507]"
3070,"[1500, 400]","[400, 401, 1500, 1501]"
3356,"[200, 1000]","[200, 201, 1000, 1001]"
